,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,4056.0,1533806824350.0,1533806824008.0,1533806828406.0,1533806824005.0,350.0,4401.0,http2,1533806824330.0,1533806824358.0,1533806824339.0,1533806828.0,334.0
0,3875.0,1533806884673.0,1533806884340.0,1533806888548.0,1533806884336.0,341.0,4212.0,http2,1533806884651.0,1533806884681.0,1533806884662.0,1533806889.0,326.0
0,3801.0,1533806944861.0,1533806944520.0,1533806948662.0,1533806944517.0,353.0,4145.0,http2,1533806944834.0,1533806944873.0,1533806944840.0,1533806949.0,323.0
0,3816.0,1533807003985.0,1533807003617.0,1533807007801.0,1533807003616.0,376.0,4185.0,http2,1533807003968.0,1533807003993.0,1533807003974.0,1533807008.0,358.0
0,3992.0,1533807064061.0,1533807063741.0,1533807068053.0,1533807063738.0,328.0,4315.0,http2,1533807064044.0,1533807064069.0,1533807064050.0,1533807068.0,312.0
0,3724.0,1533807124285.0,1533807123947.0,1533807128009.0,1533807123945.0,344.0,4064.0,http2,1533807124264.0,1533807124291.0,1533807124273.0,1533807128.0,328.0
0,3836.0,1533807184313.0,1533807183944.0,1533807188149.0,1533807183943.0,377.0,4206.0,http2,1533807184293.0,1533807184321.0,1533807184302.0,1533807188.0,359.0
0,3688.0,1533807244446.0,1533807244102.0,1533807248134.0,1533807244102.0,352.0,4032.0,http2,1533807244423.0,1533807244454.0,1533807244435.0,1533807248.0,333.0
0,3990.0,1533807304428.0,1533807304072.0,1533807308418.0,1533807304071.0,363.0,4347.0,http2,1533807304401.0,1533807304435.0,1533807304416.0,1533807308.0,345.0
0,3862.0,1533807364746.0,1533807364357.0,1533807368608.0,1533807364356.0,398.0,4252.0,http2,1533807364714.0,1533807364755.0,1533807364736.0,1533807369.0,380.0
0,3874.0,1533807424898.0,1533807424483.0,1533807428772.0,1533807424483.0,422.0,4289.0,http2,1533807424852.0,1533807424905.0,1533807424887.0,1533807429.0,404.0
0,3783.0,1533807484050.0,1533807483731.0,1533807487833.0,1533807483729.0,326.0,4104.0,http2,1533807484032.0,1533807484057.0,1533807484039.0,1533807488.0,310.0
0,3578.0,1533807544128.0,1533807543775.0,1533807547706.0,1533807543773.0,360.0,3933.0,http2,1533807544111.0,1533807544135.0,1533807544117.0,1533807548.0,344.0
0,3819.0,1533807604044.0,1533807603709.0,1533807607863.0,1533807603709.0,342.0,4154.0,http2,1533807604027.0,1533807604051.0,1533807604033.0,1533807608.0,324.0
0,3807.0,1533807664165.0,1533807663824.0,1533807667972.0,1533807663823.0,347.0,4149.0,http2,1533807664147.0,1533807664171.0,1533807664154.0,1533807668.0,331.0
0,3620.0,1533807724309.0,1533807723934.0,1533807727929.0,1533807723933.0,381.0,3996.0,http2,1533807724289.0,1533807724315.0,1533807724298.0,1533807728.0,365.0
0,6303.0,1533807784211.0,1533807783885.0,1533807790514.0,1533807783885.0,333.0,6629.0,http2,1533807784194.0,1533807784218.0,1533807784200.0,1533807791.0,315.0
0,3694.0,1533807844743.0,1533807844340.0,1533807848437.0,1533807844340.0,425.0,4097.0,http2,1533807844701.0,1533807844765.0,1533807844732.0,1533807848.0,392.0
0,3941.0,1533807904726.0,1533807904392.0,1533807908667.0,1533807904390.0,342.0,4277.0,http2,1533807904694.0,1533807904734.0,1533807904714.0,1533807909.0,324.0
0,3742.0,1533807963924.0,1533807963601.0,1533807967666.0,1533807963600.0,330.0,4066.0,http2,1533807963906.0,1533807963931.0,1533807963913.0,1533807968.0,313.0
0,3617.0,1533808023987.0,1533808023624.0,1533808027604.0,1533808023623.0,371.0,3981.0,http2,1533808023970.0,1533808023995.0,1533808023976.0,1533808028.0,353.0
0,3781.0,1533808084790.0,1533808084440.0,1533808088571.0,1533808084439.0,358.0,4132.0,http2,1533808084754.0,1533808084798.0,1533808084779.0,1533808089.0,340.0
0,3823.0,1533808144898.0,1533808144525.0,1533808148721.0,1533808144525.0,381.0,4196.0,http2,1533808144856.0,1533808144906.0,1533808144887.0,1533808149.0,362.0
0,3955.0,1533808203922.0,1533808203595.0,1533808207877.0,1533808203593.0,334.0,4284.0,http2,1533808203905.0,1533808203929.0,1533808203911.0,1533808208.0,318.0
0,3722.0,1533808264159.0,1533808263821.0,1533808267881.0,1533808263820.0,346.0,4061.0,http2,1533808264135.0,1533808264167.0,1533808264148.0,1533808268.0,328.0
0,4109.0,1533808324114.0,1533808323788.0,1533808328223.0,1533808323785.0,333.0,4438.0,http2,1533808324096.0,1533808324121.0,1533808324103.0,1533808328.0,318.0
0,3390.0,1533808384512.0,1533808384168.0,1533808387902.0,1533808384164.0,351.0,3738.0,http2,1533808384486.0,1533808384519.0,1533808384501.0,1533808388.0,337.0
0,3727.0,1533808444162.0,1533808443841.0,1533808447889.0,1533808443840.0,329.0,4049.0,http2,1533808444145.0,1533808444170.0,1533808444151.0,1533808448.0,311.0
0,4050.0,1533808504181.0,1533808503820.0,1533808508231.0,1533808503819.0,369.0,4412.0,http2,1533808504164.0,1533808504189.0,1533808504170.0,1533808508.0,351.0
0,3642.0,1533808564512.0,1533808564182.0,1533808568154.0,1533808564181.0,338.0,3973.0,http2,1533808564497.0,1533808564520.0,1533808564500.0,1533808568.0,319.0
