,networkTime,plt,protocol,protocol_ratio,renderingTime,ttfb
0,,,http1,h1_0_h2_10,,
1,364.1,4405.6,http2,h1_0_h2_10,4047.5,346.4
2,,,http1,h1_0_h2_10,,
3,366.0,4191.5,http2,h1_0_h2_10,3832.0,347.4
4,,,http1,h1_0_h2_10,,
5,359.2,4472.1,http2,h1_0_h2_10,4118.8,341.3
6,,,http1,h1_0_h2_10,,
7,365.6,4528.9,http2,h1_0_h2_10,4170.1,345.5
8,,,http1,h1_0_h2_10,,
9,358.1,4491.6,http2,h1_0_h2_10,4139.5,340.3
10,,,http1,h1_0_h2_10,,
11,361.6,4370.5,http2,h1_0_h2_10,4014.7,343.8
12,,,http1,h1_0_h2_10,,
13,359.5,4262.3,http2,h1_0_h2_10,3908.4,341.3
14,,,http1,h1_0_h2_10,,
15,380.9,4855.3,http2,h1_0_h2_10,4480.0,363.4
16,,,http1,h1_0_h2_10,,
17,364.5,4088.6,http2,h1_0_h2_10,3730.9,345.6
18,,,http1,h1_0_h2_10,,
19,357.8,4913.7,http2,h1_0_h2_10,4562.6,339.4
20,376.0,4303.666666666667,http1,h1_3_h2_7,3934.3333333333335,357.0
21,344.57142857142856,4145.0,http2,h1_3_h2_7,3806.285714285714,327.42857142857144
22,350.6666666666667,5227.333333333333,http1,h1_3_h2_7,4883.0,332.0
23,347.14285714285717,4176.714285714285,http2,h1_3_h2_7,3837.285714285714,328.0
24,349.6666666666667,4389.333333333333,http1,h1_3_h2_7,4046.6666666666665,330.6666666666667
25,370.8333333333333,4102.333333333333,http2,h1_3_h2_7,3737.5,353.3333333333333
26,365.6666666666667,4277.0,http1,h1_3_h2_7,3917.6666666666665,347.0
27,354.85714285714283,5176.285714285715,http2,h1_3_h2_7,4826.714285714285,338.2857142857143
28,374.0,4489.0,http1,h1_3_h2_7,4120.666666666667,356.0
29,366.0,4117.857142857143,http2,h1_3_h2_7,3758.0,347.0
30,393.6666666666667,4292.0,http1,h1_3_h2_7,3905.3333333333335,374.3333333333333
31,360.7142857142857,4464.571428571428,http2,h1_3_h2_7,4111.0,342.42857142857144
32,334.6666666666667,4524.0,http1,h1_3_h2_7,4195.0,317.0
33,371.14285714285717,4127.571428571428,http2,h1_3_h2_7,3762.4285714285716,353.7142857142857
34,361.6666666666667,5073.333333333333,http1,h1_3_h2_7,4718.0,343.0
35,370.42857142857144,5124.0,http2,h1_3_h2_7,4759.0,353.42857142857144
36,351.6666666666667,4202.666666666667,http1,h1_3_h2_7,3857.3333333333335,332.6666666666667
37,383.14285714285717,4265.857142857143,http2,h1_3_h2_7,3892.1428571428573,362.57142857142856
38,355.0,4992.333333333333,http1,h1_3_h2_7,4643.333333333333,336.3333333333333
39,365.0,4271.714285714285,http2,h1_3_h2_7,3917.4285714285716,343.0
40,357.4,5305.6,http1,h1_5_h2_5,4959.4,334.4
41,343.0,4078.2,http2,h1_5_h2_5,3741.8,325.2
42,357.6,4769.6,http1,h1_5_h2_5,4418.2,339.6
43,386.6,5319.4,http2,h1_5_h2_5,4939.6,368.8
44,443.0,4169.6,http1,h1_5_h2_5,3771.0,386.6
45,419.8,4065.8,http2,h1_5_h2_5,3652.4,402.2
46,368.2,4253.8,http1,h1_5_h2_5,3897.8,344.0
47,378.0,5110.4,http2,h1_5_h2_5,4738.2,361.0
48,360.8,4152.0,http1,h1_5_h2_5,3797.6,342.4
49,354.6,4063.4,http2,h1_5_h2_5,3715.8,336.4
50,358.8,4152.8,http1,h1_5_h2_5,3801.0,339.8
51,371.8,4268.2,http2,h1_5_h2_5,3903.0,354.0
52,356.4,4364.4,http1,h1_5_h2_5,4015.0,337.4
53,379.2,4199.2,http2,h1_5_h2_5,3826.0,362.0
54,364.2,4768.6,http1,h1_5_h2_5,4410.2,346.2
55,356.0,4533.6,http2,h1_5_h2_5,4184.2,338.2
56,361.6,4407.6,http1,h1_5_h2_5,4056.0,339.4
57,375.2,4771.0,http2,h1_5_h2_5,4405.2,354.6
58,451.2,4636.4,http1,h1_5_h2_5,4232.4,392.2
59,359.8,4245.8,http2,h1_5_h2_5,3892.2,342.6
60,346.7142857142857,4146.714285714285,http1,h1_7_h2_3,3806.0,329.14285714285717
61,393.0,4037.3333333333335,http2,h1_7_h2_3,3650.6666666666665,375.0
62,354.57142857142856,4214.0,http1,h1_7_h2_3,3868.1428571428573,334.2857142857143
63,394.3333333333333,3964.6666666666665,http2,h1_7_h2_3,3573.6666666666665,379.6666666666667
64,367.0,5674.714285714285,http1,h1_7_h2_3,5317.857142857143,345.2857142857143
65,404.6666666666667,5987.666666666667,http2,h1_7_h2_3,5595.666666666667,381.0
66,372.7142857142857,4653.857142857143,http1,h1_7_h2_3,4287.571428571428,354.7142857142857
67,425.3333333333333,4802.0,http2,h1_7_h2_3,4382.666666666667,408.3333333333333
68,357.7142857142857,4268.428571428572,http1,h1_7_h2_3,3920.1428571428573,336.7142857142857
69,430.0,4206.0,http2,h1_7_h2_3,3788.6666666666665,406.3333333333333
70,374.42857142857144,4609.0,http1,h1_7_h2_3,4240.142857142857,357.0
71,392.0,4132.666666666667,http2,h1_7_h2_3,3745.0,376.3333333333333
72,362.85714285714283,4410.857142857143,http1,h1_7_h2_3,4059.5714285714284,340.0
73,387.6666666666667,4120.0,http2,h1_7_h2_3,3744.3333333333335,365.0
74,359.14285714285717,4505.571428571428,http1,h1_7_h2_3,4153.285714285715,340.85714285714283
75,375.0,4923.0,http2,h1_7_h2_3,4552.666666666667,359.3333333333333
76,354.14285714285717,4893.857142857143,http1,h1_7_h2_3,4547.142857142857,334.85714285714283
77,379.6666666666667,4652.333333333333,http2,h1_7_h2_3,4282.333333333333,358.3333333333333
78,373.7142857142857,4580.571428571428,http1,h1_7_h2_3,4217.142857142857,352.0
79,401.0,4259.0,http2,h1_7_h2_3,3874.3333333333335,373.6666666666667
80,363.0,4962.3,http1,h1_10_h2_0,4606.7,344.5
81,,,http2,h1_10_h2_0,,
82,408.6,4212.0,http1,h1_10_h2_0,3811.5,389.3
83,,,http2,h1_10_h2_0,,
84,385.6,4516.6,http1,h1_10_h2_0,4144.8,360.5
85,,,http2,h1_10_h2_0,,
86,359.3,4475.7,http1,h1_10_h2_0,4122.0,342.6
87,,,http2,h1_10_h2_0,,
88,362.6,4354.6,http1,h1_10_h2_0,4003.6,339.7
89,,,http2,h1_10_h2_0,,
90,386.6,4503.6,http1,h1_10_h2_0,4134.8,357.8
