,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,4190.0,1533691504655.0,1533691503817.0,1533691508845.0,1533691503812.0,846.0,5033.0,http1,1533691504436.0,1533691504663.0,1533691504642.0,1533691509.0,830.0
0,4027.0,1533691564620.0,1533691563902.0,1533691568647.0,1533691563901.0,725.0,4746.0,http1,1533691564402.0,1533691564627.0,1533691564608.0,1533691569.0,707.0
0,5776.0,1533691624497.0,1533691623734.0,1533691630273.0,1533691623733.0,771.0,6540.0,http1,1533691624278.0,1533691624505.0,1533691624485.0,1533691630.0,752.0
0,4297.0,1533691684939.0,1533691684222.0,1533691689236.0,1533691684221.0,725.0,5015.0,http1,1533691684720.0,1533691684947.0,1533691684926.0,1533691689.0,705.0
0,4177.0,1533691745000.0,1533691744278.0,1533691749177.0,1533691744276.0,729.0,4901.0,http1,1533691744782.0,1533691745007.0,1533691744988.0,1533691749.0,712.0
0,4324.0,1533691804976.0,1533691804216.0,1533691809300.0,1533691804213.0,768.0,5087.0,http1,1533691804758.0,1533691804984.0,1533691804964.0,1533691809.0,751.0
0,4263.0,1533691865063.0,1533691864348.0,1533691869326.0,1533691864345.0,723.0,4981.0,http1,1533691864845.0,1533691865071.0,1533691865051.0,1533691869.0,706.0
0,4460.0,1533691925014.0,1533691924293.0,1533691929474.0,1533691924292.0,729.0,5182.0,http1,1533691924796.0,1533691925022.0,1533691925002.0,1533691929.0,710.0
0,4394.0,1533691985182.0,1533691984420.0,1533691989576.0,1533691984417.0,771.0,5159.0,http1,1533691984964.0,1533691985191.0,1533691985170.0,1533691990.0,753.0
0,4441.0,1533692044355.0,1533692043631.0,1533692048796.0,1533692043630.0,732.0,5166.0,http1,1533692044136.0,1533692044363.0,1533692044342.0,1533692049.0,712.0
0,4337.0,1533692104451.0,1533692103729.0,1533692108788.0,1533692103729.0,730.0,5059.0,http1,1533692104232.0,1533692104459.0,1533692104438.0,1533692109.0,709.0
0,4358.0,1533692164505.0,1533692163745.0,1533692168863.0,1533692163741.0,767.0,5122.0,http1,1533692164287.0,1533692164512.0,1533692164492.0,1533692169.0,751.0
0,4475.0,1533692224535.0,1533692223806.0,1533692229010.0,1533692223805.0,737.0,5205.0,http1,1533692224316.0,1533692224543.0,1533692224522.0,1533692229.0,717.0
0,4943.0,1533692284677.0,1533692283956.0,1533692289620.0,1533692283953.0,728.0,5667.0,http1,1533692284458.0,1533692284684.0,1533692284664.0,1533692290.0,711.0
0,4163.0,1533692345310.0,1533692344561.0,1533692349473.0,1533692344560.0,757.0,4913.0,http1,1533692345090.0,1533692345318.0,1533692345297.0,1533692349.0,737.0
0,4495.0,1533692405260.0,1533692404531.0,1533692409755.0,1533692404530.0,737.0,5225.0,http1,1533692405042.0,1533692405268.0,1533692405247.0,1533692410.0,717.0
0,4286.0,1533692464435.0,1533692463720.0,1533692468721.0,1533692463720.0,723.0,5001.0,http1,1533692464217.0,1533692464443.0,1533692464422.0,1533692469.0,702.0
0,4371.0,1533692524523.0,1533692523778.0,1533692528894.0,1533692523777.0,754.0,5117.0,http1,1533692524305.0,1533692524532.0,1533692524511.0,1533692529.0,734.0
0,4298.0,1533692584652.0,1533692583921.0,1533692588950.0,1533692583921.0,739.0,5029.0,http1,1533692584434.0,1533692584660.0,1533692584640.0,1533692589.0,719.0
0,4225.0,1533692644650.0,1533692643933.0,1533692648875.0,1533692643932.0,726.0,4943.0,http1,1533692644432.0,1533692644659.0,1533692644638.0,1533692649.0,706.0
