,networkTime,plt,protocol,protocol_ratio,renderingTime,ttfb
0,,,http1,h1_0_h2_10,,
1,762.6,5862.3,http2,h1_0_h2_10,5105.9,744.4
2,,,http1,h1_0_h2_10,,
3,758.5,5923.8,http2,h1_0_h2_10,5182.4,720.0
4,,,http1,h1_0_h2_10,,
5,828.0,7011.4,http2,h1_0_h2_10,6273.0,717.0
6,,,http1,h1_0_h2_10,,
7,756.8,5509.1,http2,h1_0_h2_10,4758.2,738.9
8,,,http1,h1_0_h2_10,,
9,754.2,5167.2,http2,h1_0_h2_10,4420.0,716.5
10,,,http1,h1_0_h2_10,,
11,760.6,5248.1,http2,h1_0_h2_10,4493.9,742.4
12,,,http1,h1_0_h2_10,,
13,751.5,5316.7,http2,h1_0_h2_10,4570.7,724.1
14,,,http1,h1_0_h2_10,,
15,747.7,5055.0,http2,h1_0_h2_10,4313.7,719.6
16,,,http1,h1_0_h2_10,,
17,813.2,7018.2,http2,h1_0_h2_10,6276.3,710.8
18,,,http1,h1_0_h2_10,,
19,755.3,6219.2,http2,h1_0_h2_10,5470.3,736.8
20,752.3333333333334,5109.0,http1,h1_3_h2_7,4363.666666666667,732.6666666666666
21,767.8571428571429,6753.714285714285,http2,h1_3_h2_7,5991.857142857143,750.1428571428571
22,750.3333333333334,5788.0,http1,h1_3_h2_7,5044.666666666667,730.6666666666666
23,859.2857142857143,7385.571428571428,http2,h1_3_h2_7,6606.285714285715,768.1428571428571
24,738.0,5139.0,http1,h1_3_h2_7,4407.666666666667,718.3333333333334
25,768.7142857142857,6297.428571428572,http2,h1_3_h2_7,5534.857142857143,737.7142857142857
26,746.0,5073.333333333333,http1,h1_3_h2_7,4333.333333333333,727.3333333333334
27,769.7142857142857,6100.285714285715,http2,h1_3_h2_7,5336.857142857143,751.5714285714286
28,839.3333333333334,6020.666666666667,http1,h1_3_h2_7,5269.333333333333,739.0
29,835.1428571428571,6930.714285714285,http2,h1_3_h2_7,6187.285714285715,732.2857142857143
30,755.0,4940.333333333333,http1,h1_3_h2_7,4191.666666666667,736.6666666666666
31,788.5714285714286,6493.142857142857,http2,h1_3_h2_7,5741.142857142857,740.5714285714286
32,749.0,5161.0,http1,h1_3_h2_7,4419.333333333333,729.6666666666666
33,791.8571428571429,6775.714285714285,http2,h1_3_h2_7,6004.571428571428,759.2857142857143
34,785.0,5573.333333333333,http1,h1_3_h2_7,4794.0,766.3333333333334
35,745.2857142857143,6543.428571428572,http2,h1_3_h2_7,5804.428571428572,727.4285714285714
36,748.6666666666666,4893.0,http1,h1_3_h2_7,4151.0,729.3333333333334
37,771.0,7304.428571428572,http2,h1_3_h2_7,6554.0,738.8571428571429
38,824.6666666666666,6831.333333333333,http1,h1_3_h2_7,6096.666666666667,722.6666666666666
39,885.2857142857143,8413.714285714286,http2,h1_3_h2_7,7651.714285714285,751.0
40,751.4,5038.8,http1,h1_5_h2_5,4294.0,733.0
41,757.4,6757.4,http2,h1_5_h2_5,6006.2,740.0
42,743.2,4984.2,http1,h1_5_h2_5,4247.0,725.0
43,775.2,6735.8,http2,h1_5_h2_5,5967.8,756.6
44,743.4,5636.4,http1,h1_5_h2_5,4898.8,725.2
45,822.2,7292.6,http2,h1_5_h2_5,6540.2,741.6
46,755.8,5192.2,http1,h1_5_h2_5,4443.0,737.0
47,763.4,7047.4,http2,h1_5_h2_5,6290.8,745.2
48,739.4,5120.4,http1,h1_5_h2_5,4405.0,703.2
49,755.0,6781.0,http2,h1_5_h2_5,6031.4,738.0
50,726.6,5493.2,http1,h1_5_h2_5,4772.0,708.8
51,782.6,6299.0,http2,h1_5_h2_5,5521.6,766.0
52,767.6,5191.8,http1,h1_5_h2_5,4453.0,726.8
53,768.6,6128.2,http2,h1_5_h2_5,5365.2,751.4
54,809.8,6647.4,http1,h1_5_h2_5,5927.0,709.0
55,848.0,7181.6,http2,h1_5_h2_5,6413.2,738.2
56,748.0,6154.2,http1,h1_5_h2_5,5413.2,729.0
57,741.0,7398.2,http2,h1_5_h2_5,6664.2,722.6
58,787.8,5450.8,http1,h1_5_h2_5,4668.2,770.4
59,770.4,6894.6,http2,h1_5_h2_5,6128.8,754.0
60,743.0,4943.0,http1,h1_7_h2_3,4206.428571428572,724.8571428571429
61,852.3333333333334,7467.666666666667,http2,h1_7_h2_3,6663.666666666667,792.6666666666666
62,734.5714285714286,7452.0,http1,h1_7_h2_3,6723.428571428572,716.8571428571429
63,769.0,8728.666666666666,http2,h1_7_h2_3,7966.333333333333,751.3333333333334
64,738.5714285714286,5493.142857142857,http1,h1_7_h2_3,4761.285714285715,720.2857142857143
65,782.0,7177.666666666667,http2,h1_7_h2_3,6402.333333333333,763.6666666666666
66,745.1428571428571,5470.142857142857,http1,h1_7_h2_3,4730.571428571428,727.8571428571429
67,771.6666666666666,7989.333333333333,http2,h1_7_h2_3,7222.0,756.0
68,752.5714285714286,7076.571428571428,http1,h1_7_h2_3,6331.285714285715,733.5714285714286
69,752.3333333333334,7608.666666666667,http2,h1_7_h2_3,6860.0,737.3333333333334
70,816.8571428571429,6409.142857142857,http1,h1_7_h2_3,5682.571428571428,715.1428571428571
71,855.0,8295.666666666666,http2,h1_7_h2_3,7540.333333333333,744.6666666666666
72,752.5714285714286,5280.714285714285,http1,h1_7_h2_3,4534.714285714285,734.4285714285714
73,755.0,7453.666666666667,http2,h1_7_h2_3,6705.333333333333,736.3333333333334
74,753.4285714285714,6304.857142857143,http1,h1_7_h2_3,5558.571428571428,734.7142857142857
75,776.0,8257.333333333334,http2,h1_7_h2_3,7488.0,758.3333333333334
76,811.8571428571429,6335.285714285715,http1,h1_7_h2_3,5612.857142857143,711.1428571428571
77,861.0,9939.333333333334,http2,h1_7_h2_3,9171.333333333334,757.0
78,748.4285714285714,5180.857142857143,http1,h1_7_h2_3,4438.428571428572,730.7142857142857
79,766.0,7218.333333333333,http2,h1_7_h2_3,6458.333333333333,748.6666666666666
80,848.5,6906.9,http1,h1_10_h2_0,6148.4,747.3
81,,,http2,h1_10_h2_0,,
82,828.8,6425.2,http1,h1_10_h2_0,5686.0,728.0
83,,,http2,h1_10_h2_0,,
84,755.7,6449.7,http1,h1_10_h2_0,5700.5,737.7
85,,,http2,h1_10_h2_0,,
86,835.6,6214.9,http1,h1_10_h2_0,5470.7,732.8
87,,,http2,h1_10_h2_0,,
88,839.6,6630.2,http1,h1_10_h2_0,5871.8,747.2
89,,,http2,h1_10_h2_0,,
90,837.7,6901.5,http1,h1_10_h2_0,6153.3,737.0
91,,,http2,h1_10_h2_0,,
92,838.3,6673.3,http1,h1_10_h2_0,5924.9,737.1
93,,,http2,h1_10_h2_0,,
94,828.0,6487.2,http1,h1_10_h2_0,5748.4,727.8
