,networkTime,plt,protocol,protocol_ratio,renderingTime,ttfb
0,,,http1,h1_0_h2_10,,
1,866.9,13201.0,http2,h1_0_h2_10,12457.9,722.2
2,,,http1,h1_0_h2_10,,
3,877.3,12756.8,http2,h1_0_h2_10,11997.1,748.3
4,,,http1,h1_0_h2_10,,
5,877.0,13103.2,http2,h1_0_h2_10,12358.0,724.3
6,,,http1,h1_0_h2_10,,
7,886.5,12987.1,http2,h1_0_h2_10,12211.3,754.9
8,,,http1,h1_0_h2_10,,
9,885.1,12959.4,http2,h1_0_h2_10,12215.6,722.8
10,,,http1,h1_0_h2_10,,
11,866.6,12535.9,http2,h1_0_h2_10,11772.3,722.9
12,,,http1,h1_0_h2_10,,
13,861.5,12447.2,http2,h1_0_h2_10,11703.4,723.1
14,,,http1,h1_0_h2_10,,
15,862.0,12375.5,http2,h1_0_h2_10,11624.3,740.1
16,,,http1,h1_0_h2_10,,
17,842.1,13615.2,http2,h1_0_h2_10,12875.0,729.1
18,,,http1,h1_0_h2_10,,
19,886.0,11580.0,http2,h1_0_h2_10,10804.5,754.1
20,823.3333333333334,6905.666666666667,http1,h1_3_h2_7,6171.0,723.3333333333334
21,898.0,13393.857142857143,http2,h1_3_h2_7,12610.0,772.8571428571429
22,927.3333333333334,7443.0,http1,h1_3_h2_7,6671.333333333333,759.6666666666666
23,844.5714285714286,13936.0,http2,h1_3_h2_7,13193.42857142857,732.0
24,939.6666666666666,7263.0,http1,h1_3_h2_7,6446.0,804.6666666666666
25,913.7142857142857,14222.714285714286,http2,h1_3_h2_7,13467.857142857143,744.0
26,839.6666666666666,7028.0,http1,h1_3_h2_7,6277.666666666667,738.3333333333334
27,904.0,12801.42857142857,http2,h1_3_h2_7,12018.714285714286,772.0
28,832.3333333333334,6421.0,http1,h1_3_h2_7,5676.333333333333,732.3333333333334
29,860.7142857142857,12144.857142857143,http2,h1_3_h2_7,11392.0,728.1428571428571
30,837.6666666666666,7216.0,http1,h1_3_h2_7,6440.666666666667,763.3333333333334
31,917.4285714285714,14228.857142857143,http2,h1_3_h2_7,13441.857142857143,776.2857142857143
32,838.0,6782.333333333333,http1,h1_3_h2_7,6032.666666666667,737.6666666666666
33,871.7142857142857,13412.142857142857,http2,h1_3_h2_7,12652.857142857143,748.2857142857143
34,897.0,7239.0,http1,h1_3_h2_7,6463.333333333333,763.6666666666666
35,880.4285714285714,12588.0,http2,h1_3_h2_7,11836.857142857143,726.4285714285714
36,897.3333333333334,7445.0,http1,h1_3_h2_7,6713.333333333333,719.6666666666666
37,855.7142857142857,13919.714285714286,http2,h1_3_h2_7,13163.142857142857,717.2857142857143
38,857.0,7116.333333333333,http1,h1_3_h2_7,6348.666666666667,756.0
39,864.5,12797.333333333334,http2,h1_3_h2_7,12035.333333333334,751.1666666666666
40,869.6,6968.4,http1,h1_5_h2_5,6207.8,748.8
41,890.2,13406.2,http2,h1_5_h2_5,12635.2,760.8
42,837.2,11606.2,http1,h1_5_h2_5,10858.4,736.0
43,935.25,13923.25,http2,h1_5_h2_5,13110.0,802.75
