,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,3992.0,1536297124899.0,1536297124452.0,1536297128891.0,1536297124450.0,493.0,4441.0,http1,1536297124823.0,1536297124945.0,1536297124888.0,1536297124.0,438.0
0,3798.0,1536297184573.0,1536297184166.0,1536297188371.0,1536297184165.0,415.0,4206.0,http1,1536297184536.0,1536297184581.0,1536297184563.0,1536297184.0,398.0
0,3801.0,1536297244132.0,1536297243778.0,1536297247933.0,1536297243777.0,362.0,4156.0,http1,1536297244096.0,1536297244140.0,1536297244122.0,1536297244.0,345.0
0,3350.0,1536297304651.0,1536297304291.0,1536297308001.0,1536297304289.0,369.0,3712.0,http1,1536297304614.0,1536297304660.0,1536297304641.0,1536297304.0,352.0
0,3998.0,1536297364706.0,1536297364278.0,1536297368704.0,1536297364277.0,453.0,4427.0,http1,1536297364660.0,1536297364731.0,1536297364696.0,1536297364.0,419.0
0,3716.0,1536297424379.0,1536297424004.0,1536297428095.0,1536297424004.0,384.0,4091.0,http1,1536297424343.0,1536297424388.0,1536297424369.0,1536297424.0,365.0
0,3741.0,1536297484750.0,1536297484344.0,1536297488491.0,1536297484342.0,414.0,4149.0,http1,1536297484695.0,1536297484758.0,1536297484740.0,1536297484.0,398.0
0,3632.0,1536297544204.0,1536297543781.0,1536297547836.0,1536297543778.0,431.0,4058.0,http1,1536297544167.0,1536297544212.0,1536297544193.0,1536297544.0,415.0
0,3946.0,1536297604478.0,1536297604098.0,1536297608424.0,1536297604098.0,388.0,4326.0,http1,1536297604431.0,1536297604486.0,1536297604468.0,1536297604.0,370.0
0,3918.0,1536297664130.0,1536297663738.0,1536297668048.0,1536297663734.0,399.0,4314.0,http1,1536297664093.0,1536297664137.0,1536297664119.0,1536297664.0,385.0
0,3598.0,1536297724757.0,1536297724295.0,1536297728355.0,1536297724294.0,469.0,4061.0,http1,1536297724719.0,1536297724764.0,1536297724747.0,1536297724.0,453.0
