,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,34.0,1535909045371.0,1535909044538.0,1535909045405.0,1535909044537.0,830.0,868.0,http2,1535909044538.0,1535909045368.0,1535909044538.0,1535909045.0,1.0
0,38.0,1535909105203.0,1535909104373.0,1535909105241.0,1535909104365.0,828.0,876.0,http2,1535909104373.0,1535909105201.0,1535909104373.0,1535909104.0,8.0
0,34.0,1535909165108.0,1535909164197.0,1535909165142.0,1535909164195.0,907.0,947.0,http2,1535909164197.0,1535909165104.0,1535909164197.0,1535909164.0,2.0
0,34.0,1535909224959.0,1535909224092.0,1535909224993.0,1535909224092.0,864.0,901.0,http2,1535909224092.0,1535909224956.0,1535909224092.0,1535909224.0,0.0
0,34.0,1535909284767.0,1535909283948.0,1535909284801.0,1535909283947.0,816.0,854.0,http2,1535909283948.0,1535909284764.0,1535909283948.0,1535909284.0,1.0
0,39.0,1535909344661.0,1535909343760.0,1535909344700.0,1535909343754.0,896.0,946.0,http2,1535909343760.0,1535909344656.0,1535909343760.0,1535909344.0,6.0
0,39.0,1535909404390.0,1535909403646.0,1535909404429.0,1535909403645.0,742.0,784.0,http2,1535909403646.0,1535909404388.0,1535909403646.0,1535909404.0,1.0
0,36.0,1535909465118.0,1535909464391.0,1535909465154.0,1535909464389.0,725.0,765.0,http2,1535909464391.0,1535909465116.0,1535909464391.0,1535909464.0,2.0
0,43.0,1535909524832.0,1535909524110.0,1535909524875.0,1535909524109.0,721.0,766.0,http2,1535909524110.0,1535909524831.0,1535909524110.0,1535909524.0,1.0
0,39.0,1535909584552.0,1535909583815.0,1535909584591.0,1535909583814.0,733.0,777.0,http2,1535909583815.0,1535909584548.0,1535909583815.0,1535909584.0,1.0
0,36.0,1535909645325.0,1535909644567.0,1535909645361.0,1535909644565.0,753.0,796.0,http2,1535909644567.0,1535909645320.0,1535909644567.0,1535909645.0,2.0
0,33.0,1535909705023.0,1535909704309.0,1535909705056.0,1535909704308.0,711.0,748.0,http2,1535909704309.0,1535909705020.0,1535909704309.0,1535909704.0,1.0
0,34.0,1535909764729.0,1535909764017.0,1535909764763.0,1535909764013.0,707.0,750.0,http2,1535909764017.0,1535909764724.0,1535909764017.0,1535909764.0,4.0
0,37.0,1535909824552.0,1535909823713.0,1535909824589.0,1535909823713.0,838.0,876.0,http2,1535909823713.0,1535909824551.0,1535909823713.0,1535909824.0,0.0
0,37.0,1535909885280.0,1535909884538.0,1535909885317.0,1535909884537.0,741.0,780.0,http2,1535909884538.0,1535909885279.0,1535909884538.0,1535909885.0,1.0
