,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,9143.0,1536058205392.0,1536058204246.0,1536058214535.0,1536058204245.0,1154.0,10290.0,http2,1536058204974.0,1536058205400.0,1536058205380.0,1536058204.0,1135.0
0,7940.0,1536058265764.0,1536058264607.0,1536058273704.0,1536058264606.0,1165.0,9098.0,http2,1536058265346.0,1536058265772.0,1536058265752.0,1536058265.0,1146.0
0,4315.0,1536058324904.0,1536058323737.0,1536058329219.0,1536058323736.0,1175.0,5483.0,http2,1536058324486.0,1536058324912.0,1536058324892.0,1536058324.0,1156.0
0,4597.0,1536058385411.0,1536058384214.0,1536058390008.0,1536058384213.0,1203.0,5795.0,http2,1536058384993.0,1536058385417.0,1536058385398.0,1536058384.0,1185.0
0,10389.0,1536058445149.0,1536058443942.0,1536058455538.0,1536058443941.0,1389.0,11597.0,http2,1536058444732.0,1536058445331.0,1536058445137.0,1536058444.0,1196.0
0,8640.0,1536058505711.0,1536058504542.0,1536058514351.0,1536058504542.0,1175.0,9809.0,http2,1536058505293.0,1536058505717.0,1536058505698.0,1536058505.0,1156.0
0,8603.0,1536058565630.0,1536058564419.0,1536058574233.0,1536058564417.0,1217.0,9816.0,http2,1536058565212.0,1536058565636.0,1536058565618.0,1536058564.0,1201.0
0,6170.0,1536058625468.0,1536058624273.0,1536058631638.0,1536058624273.0,1203.0,7365.0,http2,1536058625050.0,1536058625476.0,1536058625456.0,1536058624.0,1183.0
0,6910.0,1536058685751.0,1536058684582.0,1536058692661.0,1536058684581.0,1367.0,8080.0,http2,1536058685333.0,1536058685949.0,1536058685739.0,1536058685.0,1158.0
0,6460.0,1536058744859.0,1536058743666.0,1536058751319.0,1536058743661.0,1201.0,7658.0,http2,1536058744441.0,1536058744867.0,1536058744847.0,1536058744.0,1186.0
0,6219.0,1536058805453.0,1536058804260.0,1536058811672.0,1536058804256.0,1200.0,7416.0,http2,1536058805035.0,1536058805460.0,1536058805440.0,1536058804.0,1184.0
0,6579.0,1536058865737.0,1536058864614.0,1536058872316.0,1536058864613.0,1130.0,7703.0,http2,1536058865319.0,1536058865744.0,1536058865724.0,1536058865.0,1111.0
0,7766.0,1536058925432.0,1536058924258.0,1536058933198.0,1536058924257.0,1182.0,8941.0,http2,1536058925015.0,1536058925440.0,1536058925420.0,1536058924.0,1163.0
0,6035.0,1536058985416.0,1536058984261.0,1536058991451.0,1536058984261.0,1162.0,7190.0,http2,1536058984998.0,1536058985423.0,1536058985403.0,1536058984.0,1142.0
0,6925.0,1536059045532.0,1536059044381.0,1536059052457.0,1536059044377.0,1359.0,8080.0,http2,1536059045114.0,1536059045740.0,1536059045520.0,1536059044.0,1143.0
0,6821.0,1536059105653.0,1536059104466.0,1536059112474.0,1536059104461.0,1194.0,8013.0,http2,1536059105233.0,1536059105660.0,1536059105641.0,1536059104.0,1180.0
0,6974.0,1536059165712.0,1536059164524.0,1536059172686.0,1536059164522.0,1195.0,8164.0,http2,1536059165294.0,1536059165719.0,1536059165699.0,1536059165.0,1177.0
0,8571.0,1536059224910.0,1536059223782.0,1536059233481.0,1536059223782.0,1135.0,9699.0,http2,1536059224490.0,1536059224917.0,1536059224898.0,1536059224.0,1116.0
0,6141.0,1536059285721.0,1536059284526.0,1536059291862.0,1536059284526.0,1202.0,7336.0,http2,1536059285297.0,1536059285728.0,1536059285708.0,1536059285.0,1182.0
0,6949.0,1536059344942.0,1536059343797.0,1536059351891.0,1536059343796.0,1344.0,8095.0,http2,1536059344524.0,1536059345141.0,1536059344930.0,1536059344.0,1134.0
0,7660.0,1536059405083.0,1536059403878.0,1536059412743.0,1536059403877.0,1388.0,8866.0,http2,1536059404666.0,1536059405266.0,1536059405071.0,1536059404.0,1194.0
0,5964.0,1536059464846.0,1536059463670.0,1536059470810.0,1536059463669.0,1183.0,7141.0,http2,1536059464428.0,1536059464853.0,1536059464833.0,1536059464.0,1164.0
0,5941.0,1536059524919.0,1536059523741.0,1536059530860.0,1536059523738.0,1186.0,7122.0,http2,1536059524501.0,1536059524927.0,1536059524907.0,1536059524.0,1169.0
0,10792.0,1536059584982.0,1536059583778.0,1536059595774.0,1536059583777.0,1413.0,11997.0,http2,1536059584565.0,1536059585191.0,1536059584971.0,1536059584.0,1194.0
