,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,24529.0,1537618925216.0,1537618924053.0,1537618949745.0,1537618924052.0,1365.0,25693.0,http2,1537618924799.0,1537618925418.0,1537618925204.0,1537618924.0,1152.0
0,19832.0,1537618985002.0,1537618983819.0,1537619004834.0,1537618983818.0,1374.0,21016.0,http2,1537618984585.0,1537618985193.0,1537618984990.0,1537618984.0,1172.0
0,21058.0,1537619044923.0,1537619043797.0,1537619065981.0,1537619043797.0,1316.0,22184.0,http2,1537619044505.0,1537619045113.0,1537619044911.0,1537619044.0,1114.0
0,19067.0,1537619105074.0,1537619103935.0,1537619124141.0,1537619103934.0,1342.0,20207.0,http2,1537619104657.0,1537619105277.0,1537619105062.0,1537619104.0,1128.0
0,23075.0,1537619165450.0,1537619164270.0,1537619188525.0,1537619164270.0,1380.0,24255.0,http2,1537619165033.0,1537619165650.0,1537619165439.0,1537619164.0,1169.0
0,20418.0,1537619225669.0,1537619224515.0,1537619246087.0,1537619224513.0,1352.0,21574.0,http2,1537619225251.0,1537619225867.0,1537619225657.0,1537619224.0,1144.0
0,24055.0,1537619285501.0,1537619284172.0,1537619309556.0,1537619284171.0,1336.0,25385.0,http2,1537619284882.0,1537619285508.0,1537619285489.0,1537619284.0,1318.0
0,24420.0,1537619344852.0,1537619343729.0,1537619369272.0,1537619343729.0,1327.0,25543.0,http2,1537619344435.0,1537619345056.0,1537619344841.0,1537619344.0,1112.0
0,21023.0,1537619405505.0,1537619404369.0,1537619426528.0,1537619404369.0,1336.0,22159.0,http2,1537619405087.0,1537619405705.0,1537619405493.0,1537619404.0,1124.0
0,18238.0,1537619464869.0,1537619463704.0,1537619483107.0,1537619463702.0,1358.0,19405.0,http2,1537619464451.0,1537619465062.0,1537619464857.0,1537619464.0,1155.0
0,26176.0,1537619525411.0,1537619524259.0,1537619551587.0,1537619524258.0,1557.0,27329.0,http2,1537619524994.0,1537619525816.0,1537619525400.0,1537619524.0,1142.0
0,22172.0,1537619585685.0,1537619584565.0,1537619607857.0,1537619584565.0,1323.0,23292.0,http2,1537619585267.0,1537619585888.0,1537619585673.0,1537619585.0,1108.0
0,17354.0,1537619644960.0,1537619643822.0,1537619662314.0,1537619643822.0,1346.0,18492.0,http2,1537619644542.0,1537619645168.0,1537619644948.0,1537619644.0,1126.0
0,20238.0,1537619705467.0,1537619704305.0,1537619725705.0,1537619704305.0,1541.0,21400.0,http2,1537619705049.0,1537619705846.0,1537619705455.0,1537619704.0,1150.0
0,24781.0,1537619765005.0,1537619763849.0,1537619789786.0,1537619763849.0,1353.0,25937.0,http2,1537619764588.0,1537619765202.0,1537619764994.0,1537619764.0,1145.0
0,28253.0,1537619824880.0,1537619823739.0,1537619853133.0,1537619823733.0,1533.0,29400.0,http2,1537619824461.0,1537619825272.0,1537619824868.0,1537619824.0,1135.0
0,14626.0,1537619885229.0,1537619884113.0,1537619899855.0,1537619884113.0,1318.0,15742.0,http2,1537619884811.0,1537619885431.0,1537619885217.0,1537619884.0,1104.0
0,19258.0,1537619945101.0,1537619943957.0,1537619964359.0,1537619943957.0,1346.0,20402.0,http2,1537619944684.0,1537619945303.0,1537619945089.0,1537619944.0,1132.0
0,21079.0,1537620005954.0,1537620004541.0,1537620027033.0,1537620004541.0,1767.0,22492.0,http2,1537620005498.0,1537620006308.0,1537620005942.0,1537620005.0,1401.0
0,27298.0,1537620065281.0,1537620064120.0,1537620092579.0,1537620064120.0,1351.0,28459.0,http2,1537620064863.0,1537620065471.0,1537620065269.0,1537620064.0,1149.0
0,18733.0,1537620124821.0,1537620123675.0,1537620143554.0,1537620123673.0,1347.0,19881.0,http2,1537620124403.0,1537620125022.0,1537620124809.0,1537620124.0,1136.0
0,21057.0,1537620184796.0,1537620183665.0,1537620205853.0,1537620183665.0,1340.0,22188.0,http2,1537620184378.0,1537620185005.0,1537620184784.0,1537620184.0,1119.0
0,21846.0,1537620245135.0,1537620243969.0,1537620266981.0,1537620243969.0,1348.0,23012.0,http2,1537620244717.0,1537620245317.0,1537620245123.0,1537620244.0,1154.0
0,19078.0,1537620305778.0,1537620303944.0,1537620324856.0,1537620303944.0,2034.0,20912.0,http2,1537620305359.0,1537620305978.0,1537620305766.0,1537620304.0,1822.0
0,23553.0,1537620365422.0,1537620363823.0,1537620388975.0,1537620363821.0,1991.0,25154.0,http2,1537620364804.0,1537620365814.0,1537620365410.0,1537620364.0,1589.0
0,26907.0,1537620425078.0,1537620423949.0,1537620451985.0,1537620423949.0,1325.0,28036.0,http2,1537620424660.0,1537620425274.0,1537620425066.0,1537620424.0,1117.0
0,19231.0,1537620485064.0,1537620483946.0,1537620504295.0,1537620483945.0,1502.0,20350.0,http2,1537620484646.0,1537620485448.0,1537620485052.0,1537620484.0,1107.0
0,23919.0,1537620545560.0,1537620544383.0,1537620569479.0,1537620544382.0,1562.0,25097.0,http2,1537620545142.0,1537620545945.0,1537620545548.0,1537620544.0,1166.0
0,24099.0,1537620605633.0,1537620604485.0,1537620629732.0,1537620604481.0,1548.0,25251.0,http2,1537620605216.0,1537620606033.0,1537620605622.0,1537620604.0,1141.0
