,delay,fi,packet_loss_rate,test_case
0,10.0,0.9848241081647896,0.0,del_10
1,10.0,0.9829143350060219,0.0,del_10
2,10.0,0.9886057359713484,0.0,del_10
3,10.0,0.9787331264690124,0.0,del_10
4,10.0,0.9762279161820628,0.0,del_10
5,10.0,0.9860879697134567,0.0,del_10
6,10.0,0.9613791127193364,0.0,del_10
7,10.0,0.968396273676981,0.0,del_10
8,10.0,0.9842689960537152,0.0,del_10
9,10.0,0.9541975226431313,0.0,del_10
10,100.0,0.9841769204006364,0.0,del_100
11,100.0,0.9869291136615244,0.0,del_100
12,100.0,0.981590257052904,0.0,del_100
13,100.0,0.9860637823869244,0.0,del_100
14,100.0,0.9881478492208915,0.0,del_100
15,100.0,0.9865349460863155,0.0,del_100
16,100.0,0.9934073942327417,0.0,del_100
17,100.0,0.997901412788823,0.0,del_100
18,100.0,0.984783563888543,0.0,del_100
19,100.0,0.9822600874426222,0.0,del_100
20,10.0,0.98315385231932,0.1,del_10_plr_0.1
21,10.0,0.9879098002671879,0.1,del_10_plr_0.1
22,10.0,0.9557002067148963,0.1,del_10_plr_0.1
23,10.0,0.9969962513779018,0.1,del_10_plr_0.1
24,10.0,0.9816163342397602,0.1,del_10_plr_0.1
25,10.0,0.985697127208651,0.1,del_10_plr_0.1
26,10.0,0.9983476349706819,0.1,del_10_plr_0.1
27,10.0,0.9826307900801943,0.1,del_10_plr_0.1
28,10.0,0.9568761877392269,0.1,del_10_plr_0.1
29,10.0,0.9778293789693083,0.1,del_10_plr_0.1
30,10.0,0.9973105458647641,0.5,del_10_plr_0.5
31,10.0,0.9842517550673184,0.5,del_10_plr_0.5
32,10.0,0.9815813021419375,0.5,del_10_plr_0.5
33,10.0,0.9977432359526293,0.5,del_10_plr_0.5
34,10.0,0.9969154860121024,0.5,del_10_plr_0.5
35,10.0,0.9832228412771407,0.5,del_10_plr_0.5
36,10.0,0.9944155314896638,0.5,del_10_plr_0.5
37,10.0,0.9971132619587029,0.5,del_10_plr_0.5
38,10.0,0.9753864065912681,0.5,del_10_plr_0.5
39,10.0,0.9956787753885309,0.5,del_10_plr_0.5
40,10.0,0.9959830510390191,1.0,del_10_plr_1
41,10.0,0.981463450503976,1.0,del_10_plr_1
42,10.0,0.9618732720899764,1.0,del_10_plr_1
43,10.0,0.9853783889974199,1.0,del_10_plr_1
44,10.0,0.9820978818134025,1.0,del_10_plr_1
45,10.0,0.9825067404171383,1.0,del_10_plr_1
46,10.0,0.9957448612676905,1.0,del_10_plr_1
47,10.0,0.9692620695199897,1.0,del_10_plr_1
48,10.0,0.9817336467654922,1.0,del_10_plr_1
49,10.0,0.9965274442148048,1.0,del_10_plr_1
50,10.0,0.9960015125840284,3.0,del_10_plr_3
51,10.0,0.9980090929436075,3.0,del_10_plr_3
52,10.0,0.9698794940790946,3.0,del_10_plr_3
53,10.0,0.997411039881102,3.0,del_10_plr_3
54,10.0,0.9952814996039553,3.0,del_10_plr_3
55,10.0,0.9981906218705272,3.0,del_10_plr_3
56,10.0,0.996918279764454,3.0,del_10_plr_3
57,10.0,0.996581406480133,3.0,del_10_plr_3
58,10.0,0.9823235813870064,3.0,del_10_plr_3
59,10.0,0.9964677664173892,3.0,del_10_plr_3
60,10.0,0.9963970649468676,5.0,del_10_plr_5
61,10.0,0.9855643020542119,5.0,del_10_plr_5
62,10.0,0.9961772468239392,5.0,del_10_plr_5
63,10.0,0.9829635529672672,5.0,del_10_plr_5
64,10.0,0.9850252509309434,5.0,del_10_plr_5
65,10.0,0.9980051526052744,5.0,del_10_plr_5
66,10.0,0.9610289131178056,5.0,del_10_plr_5
67,10.0,0.9982135912301477,5.0,del_10_plr_5
68,10.0,0.9987934834402356,5.0,del_10_plr_5
69,10.0,0.9848854593419253,5.0,del_10_plr_5
70,50.0,0.9836027752505213,0.0,del_50
71,50.0,0.992251028006315,0.0,del_50
72,50.0,0.9853735621826222,0.0,del_50
73,50.0,0.9831444364125916,0.0,del_50
74,50.0,0.9734772949074356,0.0,del_50
75,50.0,0.9966322905241931,0.0,del_50
76,50.0,0.9980291272980648,0.0,del_50
77,50.0,0.9952618356691378,0.0,del_50
78,50.0,0.9906115877276906,0.0,del_50
79,50.0,0.9781567970128455,0.0,del_50
80,50.0,0.9959174520622246,0.1,del_50_plr_0.1
81,50.0,0.9817575486629062,0.1,del_50_plr_0.1
82,50.0,0.9799531795963049,0.1,del_50_plr_0.1
83,50.0,0.9864593349429808,0.1,del_50_plr_0.1
84,50.0,0.9882693184346394,0.1,del_50_plr_0.1
85,50.0,0.9821825579471924,0.1,del_50_plr_0.1
86,50.0,0.9823972695417816,0.1,del_50_plr_0.1
87,50.0,0.9940278830435552,0.1,del_50_plr_0.1
88,50.0,0.9904327173415959,0.1,del_50_plr_0.1
89,50.0,0.9780209342739771,0.1,del_50_plr_0.1
90,50.0,0.9568794792756475,0.5,del_50_plr_0.5
91,50.0,0.9599402320218156,0.5,del_50_plr_0.5
92,50.0,0.9704571919492695,0.5,del_50_plr_0.5
93,50.0,0.964160388841436,0.5,del_50_plr_0.5
94,50.0,0.9666859341784255,0.5,del_50_plr_0.5
95,50.0,0.9673445305450709,0.5,del_50_plr_0.5
96,50.0,0.9721954203501038,0.5,del_50_plr_0.5
97,50.0,0.9772423329838591,0.5,del_50_plr_0.5
98,50.0,0.9649486892515832,0.5,del_50_plr_0.5
99,50.0,0.9733243696862666,0.5,del_50_plr_0.5
100,50.0,0.9400166080139307,1.0,del_50_plr_1
101,50.0,0.9283512574882389,1.0,del_50_plr_1
102,50.0,0.9510693112629438,1.0,del_50_plr_1
103,50.0,0.9539174623003032,1.0,del_50_plr_1
104,50.0,0.9412889337233075,1.0,del_50_plr_1
105,50.0,0.947883679354166,1.0,del_50_plr_1
106,50.0,0.9412084416407045,1.0,del_50_plr_1
107,50.0,0.9391815767674161,1.0,del_50_plr_1
108,50.0,0.9322931870696999,1.0,del_50_plr_1
109,50.0,0.9392600868941775,1.0,del_50_plr_1
110,50.0,0.8651159616748693,3.0,del_50_plr_3
111,50.0,0.856249615932142,3.0,del_50_plr_3
112,50.0,0.8686658109589938,3.0,del_50_plr_3
113,50.0,0.8468282358324118,3.0,del_50_plr_3
114,50.0,0.8526925354071663,3.0,del_50_plr_3
115,50.0,0.8593860844089846,3.0,del_50_plr_3
116,50.0,0.9925431636811498,3.0,del_50_plr_3
117,50.0,0.834411753456551,5.0,del_50_plr_5
118,50.0,0.8519025509714322,5.0,del_50_plr_5
119,50.0,0.8337398247736236,5.0,del_50_plr_5
120,50.0,0.840467693558425,5.0,del_50_plr_5
121,50.0,0.8378060699952861,5.0,del_50_plr_5
122,50.0,0.8438779041712051,5.0,del_50_plr_5
123,50.0,0.8098904505348004,5.0,del_50_plr_5
124,50.0,0.8409328959169498,5.0,del_50_plr_5
125,50.0,0.8680684683678616,5.0,del_50_plr_5
126,50.0,0.8392249336098219,5.0,del_50_plr_5
127,100.0,0.9824092321988941,0.1,del_100_plr_0.1
128,100.0,0.9778561586294666,0.1,del_100_plr_0.1
129,100.0,0.9842313566896432,0.1,del_100_plr_0.1
130,100.0,0.9705096892332313,0.1,del_100_plr_0.1
131,100.0,0.9792194364134913,0.1,del_100_plr_0.1
132,100.0,0.9678744758759837,0.1,del_100_plr_0.1
133,100.0,0.9734840341414851,0.1,del_100_plr_0.1
134,100.0,0.9730771805445841,0.1,del_100_plr_0.1
135,100.0,0.9837500100965181,0.1,del_100_plr_0.1
136,100.0,0.9725690767988554,0.1,del_100_plr_0.1
137,100.0,0.9382988099251688,0.5,del_100_plr_0.5
138,100.0,0.9542402315634713,0.5,del_100_plr_0.5
139,100.0,0.9813964297247806,0.5,del_100_plr_0.5
140,100.0,0.9370167969393475,0.5,del_100_plr_0.5
141,100.0,0.9135538539795882,0.5,del_100_plr_0.5
142,100.0,0.9368257567849541,0.5,del_100_plr_0.5
143,100.0,0.9316364519252556,0.5,del_100_plr_0.5
144,100.0,0.965504045361218,0.5,del_100_plr_0.5
145,100.0,0.9668504749597336,0.5,del_100_plr_0.5
146,100.0,0.9748750607427447,0.5,del_100_plr_0.5
147,100.0,0.9024138929239683,1.0,del_100_plr_1
148,100.0,0.9245353197024858,1.0,del_100_plr_1
149,100.0,0.9223049005528525,1.0,del_100_plr_1
150,100.0,0.9163911868807687,1.0,del_100_plr_1
151,100.0,0.90080374471712,1.0,del_100_plr_1
152,100.0,0.9197015464752578,1.0,del_100_plr_1
153,100.0,0.9130248383810508,1.0,del_100_plr_1
154,100.0,0.8850870352409043,1.0,del_100_plr_1
155,100.0,0.9039883099137439,1.0,del_100_plr_1
156,100.0,0.819128067707949,3.0,del_100_plr_3
157,100.0,0.8124828450648871,3.0,del_100_plr_3
158,100.0,0.816103238413768,3.0,del_100_plr_3
159,100.0,0.8255737064631069,3.0,del_100_plr_3
160,100.0,0.8125099633866664,3.0,del_100_plr_3
161,100.0,0.8275005964669413,3.0,del_100_plr_3
162,100.0,0.8073799574911911,3.0,del_100_plr_3
163,100.0,0.8216529529404654,3.0,del_100_plr_3
164,100.0,0.8240364990833768,3.0,del_100_plr_3
165,100.0,0.8173833973168937,3.0,del_100_plr_3
166,100.0,0.7825570840783586,5.0,del_100_plr_5
167,100.0,0.7919520007137798,5.0,del_100_plr_5
168,100.0,0.7984325153264207,5.0,del_100_plr_5
169,100.0,0.7978446909891043,5.0,del_100_plr_5
170,100.0,0.7879364760734678,5.0,del_100_plr_5
171,100.0,0.7886219785508947,5.0,del_100_plr_5
172,100.0,0.7897549960916465,5.0,del_100_plr_5
173,100.0,0.7766620885400091,5.0,del_100_plr_5
174,100.0,0.7924336063423502,5.0,del_100_plr_5
175,100.0,0.779395683037082,5.0,del_100_plr_5
176,150.0,0.9743140794200534,0.1,del_150_plr_0.1
177,150.0,0.9624227381171135,0.1,del_150_plr_0.1
178,150.0,0.9569822943386262,0.1,del_150_plr_0.1
179,150.0,0.9434197654860481,0.1,del_150_plr_0.1
180,150.0,0.977783706499712,0.1,del_150_plr_0.1
181,150.0,0.9869104745333777,0.1,del_150_plr_0.1
182,150.0,0.9984015144501005,0.1,del_150_plr_0.1
183,150.0,0.9818008767982093,0.1,del_150_plr_0.1
184,150.0,0.9614040358310827,0.1,del_150_plr_0.1
185,150.0,0.9692980892446864,0.1,del_150_plr_0.1
186,150.0,0.9255746260475355,0.5,del_150_plr_0.5
187,150.0,0.9290762814165997,0.5,del_150_plr_0.5
188,150.0,0.9449047516706572,0.5,del_150_plr_0.5
189,150.0,0.9486881579686554,0.5,del_150_plr_0.5
190,150.0,0.9439151975797587,0.5,del_150_plr_0.5
191,150.0,0.9322919815320045,0.5,del_150_plr_0.5
192,150.0,0.9804566836467543,0.5,del_150_plr_0.5
193,150.0,0.9438122261399104,0.5,del_150_plr_0.5
194,150.0,0.940839236272918,0.5,del_150_plr_0.5
195,150.0,0.9499518931026273,0.5,del_150_plr_0.5
196,150.0,0.9037083994889282,1.0,del_150_plr_1
197,150.0,0.8786191566710467,1.0,del_150_plr_1
198,150.0,0.8795488928275801,1.0,del_150_plr_1
199,150.0,0.8741946668920726,1.0,del_150_plr_1
200,150.0,0.8657184728789928,1.0,del_150_plr_1
201,150.0,0.8596750667302392,1.0,del_150_plr_1
202,150.0,0.9037836960098273,1.0,del_150_plr_1
203,150.0,0.877407893726533,1.0,del_150_plr_1
204,150.0,0.8839041859749711,1.0,del_150_plr_1
205,150.0,0.8764271857988651,1.0,del_150_plr_1
206,150.0,0.7926013774712352,3.0,del_150_plr_3
207,150.0,0.8101892185452648,3.0,del_150_plr_3
208,150.0,0.7974765717512056,3.0,del_150_plr_3
209,150.0,0.8050602717985976,3.0,del_150_plr_3
210,150.0,0.8166804331452996,3.0,del_150_plr_3
211,150.0,0.8039743944772849,3.0,del_150_plr_3
212,150.0,0.8342939866520629,3.0,del_150_plr_3
213,150.0,0.815924476763365,3.0,del_150_plr_3
214,150.0,0.794429846586844,3.0,del_150_plr_3
215,150.0,0.811216007505565,3.0,del_150_plr_3
216,150.0,0.7897122301439597,5.0,del_150_plr_5
217,150.0,0.800800266380536,5.0,del_150_plr_5
218,150.0,0.7847066447678938,5.0,del_150_plr_5
219,150.0,0.7970447297881816,5.0,del_150_plr_5
220,150.0,0.7819101253649231,5.0,del_150_plr_5
221,150.0,0.7947853108579639,5.0,del_150_plr_5
222,150.0,0.7726675089440812,5.0,del_150_plr_5
223,150.0,0.7733229249903708,5.0,del_150_plr_5
224,150.0,0.7872346564248002,5.0,del_150_plr_5
225,150.0,0.7796047295959445,5.0,del_150_plr_5
226,200.0,0.9926494860742912,0.0,del_200
227,200.0,0.9912627399971473,0.0,del_200
228,200.0,0.9943688214530414,0.0,del_200
229,200.0,0.9760044059469426,0.0,del_200
230,200.0,0.9896308643494157,0.0,del_200
231,200.0,0.9918949727774774,0.0,del_200
232,200.0,0.9935144645705007,0.0,del_200
233,200.0,0.9876065656141205,0.0,del_200
234,200.0,0.9957369594419163,0.0,del_200
235,200.0,0.9738016251178983,0.0,del_200
236,200.0,0.9695872945801536,0.1,del_200_plr_0.1
237,200.0,0.9946145267497148,0.1,del_200_plr_0.1
238,200.0,0.9979908986743766,0.1,del_200_plr_0.1
239,200.0,0.9887057536719805,0.1,del_200_plr_0.1
240,200.0,0.9714517965831717,0.1,del_200_plr_0.1
241,200.0,0.9884377808009621,0.1,del_200_plr_0.1
242,200.0,0.968612585247623,0.1,del_200_plr_0.1
243,200.0,0.9756051325918056,0.1,del_200_plr_0.1
244,200.0,0.9953725175372713,0.1,del_200_plr_0.1
245,200.0,0.9725000376347612,0.1,del_200_plr_0.1
246,200.0,0.9345016794176255,0.5,del_200_plr_0.5
247,200.0,0.9230669384808508,0.5,del_200_plr_0.5
248,200.0,0.9280066184294236,0.5,del_200_plr_0.5
249,200.0,0.9217397799649969,0.5,del_200_plr_0.5
250,200.0,0.927136013882103,0.5,del_200_plr_0.5
251,200.0,0.9369420859209355,0.5,del_200_plr_0.5
252,200.0,0.933155739292271,0.5,del_200_plr_0.5
253,200.0,0.9183058808005314,0.5,del_200_plr_0.5
254,200.0,0.937400641725479,0.5,del_200_plr_0.5
255,200.0,0.9291753794638812,0.5,del_200_plr_0.5
256,200.0,0.8802829809442069,1.0,del_200_plr_1
257,200.0,0.8796036471935819,1.0,del_200_plr_1
258,200.0,0.9221535233631872,1.0,del_200_plr_1
259,200.0,0.8789265320010962,1.0,del_200_plr_1
260,200.0,0.8909837622374649,1.0,del_200_plr_1
261,200.0,0.9000228430887748,1.0,del_200_plr_1
262,200.0,0.8723198649333557,1.0,del_200_plr_1
263,200.0,0.8721973444101526,1.0,del_200_plr_1
264,200.0,0.8868035039217934,1.0,del_200_plr_1
265,200.0,0.8975663276257312,1.0,del_200_plr_1
266,200.0,0.8189187615696639,3.0,del_200_plr_3
267,200.0,0.7969185438125462,3.0,del_200_plr_3
268,200.0,0.8108780621715139,3.0,del_200_plr_3
269,200.0,0.8047030815938313,3.0,del_200_plr_3
270,200.0,0.8052319612736516,3.0,del_200_plr_3
271,200.0,0.8052537262447387,3.0,del_200_plr_3
272,200.0,0.803282722297603,3.0,del_200_plr_3
273,200.0,0.8256635241277067,3.0,del_200_plr_3
274,200.0,0.8058028137368154,3.0,del_200_plr_3
275,200.0,0.7984208921068243,3.0,del_200_plr_3
276,200.0,0.7761714634520619,5.0,del_200_plr_5
277,200.0,0.7879258457862323,5.0,del_200_plr_5
278,200.0,0.7860937365534595,5.0,del_200_plr_5
279,200.0,0.7692465168170031,5.0,del_200_plr_5
280,200.0,0.7882863158545075,5.0,del_200_plr_5
281,200.0,0.7756086261620407,5.0,del_200_plr_5
282,200.0,0.7797902981094088,5.0,del_200_plr_5
283,200.0,0.7571861366976242,5.0,del_200_plr_5
284,200.0,0.7765450075059136,5.0,del_200_plr_5
285,200.0,0.7726863297366129,5.0,del_200_plr_5
