,networkTime,plt,protocol,protocol_ratio,renderingTime,ttfb
0,,,http1,h1_0_h2_10,,
1,365.3,4384.4,http2,h1_0_h2_10,4032.3,340.6
2,,,http1,h1_0_h2_10,,
3,373.2,5080.5,http2,h1_0_h2_10,4713.3,355.3
4,,,http1,h1_0_h2_10,,
5,371.9,4484.2,http2,h1_0_h2_10,4119.8,352.6
6,,,http1,h1_0_h2_10,,
7,353.6,4386.6,http2,h1_0_h2_10,4039.6,335.3
8,,,http1,h1_0_h2_10,,
9,384.3,4871.0,http2,h1_0_h2_10,4506.2,353.2
10,,,http1,h1_0_h2_10,,
11,368.1,5027.7,http2,h1_0_h2_10,4665.7,350.4
12,,,http1,h1_0_h2_10,,
13,366.5,4195.2,http2,h1_0_h2_10,3835.5,347.9
14,,,http1,h1_0_h2_10,,
15,369.8,4572.3,http2,h1_0_h2_10,4214.9,345.8
16,364.3333333333333,4295.0,http1,h1_3_h2_7,3937.3333333333335,345.0
17,379.7142857142857,4496.285714285715,http2,h1_3_h2_7,4122.571428571428,362.42857142857144
18,339.6666666666667,5003.0,http1,h1_3_h2_7,4670.0,321.3333333333333
19,371.7142857142857,4527.285714285715,http2,h1_3_h2_7,4162.714285714285,353.2857142857143
20,368.0,5254.333333333333,http1,h1_3_h2_7,4894.666666666667,347.6666666666667
21,372.0,4625.285714285715,http2,h1_3_h2_7,4269.0,345.14285714285717
22,364.0,4169.666666666667,http1,h1_3_h2_7,3811.6666666666665,345.6666666666667
23,359.0,4869.0,http2,h1_3_h2_7,4515.285714285715,342.42857142857144
24,354.0,4214.0,http1,h1_3_h2_7,3866.3333333333335,335.3333333333333
25,414.2857142857143,4956.857142857143,http2,h1_3_h2_7,4558.714285714285,386.85714285714283
26,2013.3333333333333,6072.333333333333,http1,h1_3_h2_7,4065.3333333333335,1995.0
27,1088.5714285714287,4770.714285714285,http2,h1_3_h2_7,3687.714285714286,1071.5714285714287
28,395.2,4220.6,http1,h1_5_h2_5,3830.8,377.8
29,372.4,5383.2,http2,h1_5_h2_5,5029.8,342.2
30,343.2,4216.4,http1,h1_5_h2_5,3880.8,323.6
31,353.0,5769.2,http2,h1_5_h2_5,5421.6,336.4
32,334.8,4152.2,http1,h1_5_h2_5,3823.6,317.0
33,380.4,5311.0,http2,h1_5_h2_5,4937.2,362.8
34,335.2,4668.8,http1,h1_5_h2_5,4339.4,317.4
35,361.2,5705.8,http2,h1_5_h2_5,5350.6,343.6
36,1325.6,5676.6,http1,h1_5_h2_5,4356.2,1308.6
37,1426.0,5047.0,http2,h1_5_h2_5,3630.2,1405.8
38,373.8,5626.8,http1,h1_5_h2_5,5258.8,356.2
39,382.0,5679.2,http2,h1_5_h2_5,5314.4,353.6
40,436.6,4220.0,http1,h1_5_h2_5,3793.6,414.6
41,418.8,4082.2,http2,h1_5_h2_5,3669.0,401.8
42,349.8,4776.0,http1,h1_5_h2_5,4432.0,332.0
43,369.0,4292.4,http2,h1_5_h2_5,3930.2,350.6
44,347.57142857142856,4588.571428571428,http1,h1_7_h2_3,4247.571428571428,329.57142857142856
45,396.3333333333333,5098.666666666667,http2,h1_7_h2_3,4713.0,374.0
46,396.42857142857144,4117.428571428572,http1,h1_7_h2_3,3727.5714285714284,378.14285714285717
47,365.0,4197.0,http2,h1_7_h2_3,3837.3333333333335,348.3333333333333
48,371.42857142857144,4174.571428571428,http1,h1_7_h2_3,3840.0,323.2857142857143
49,401.6666666666667,4329.666666666667,http2,h1_7_h2_3,3934.3333333333335,383.6666666666667
50,435.7142857142857,4622.428571428572,http1,h1_7_h2_3,4223.571428571428,387.14285714285717
51,427.3333333333333,4316.333333333333,http2,h1_7_h2_3,3926.6666666666665,378.6666666666667
52,360.57142857142856,4653.857142857143,http1,h1_7_h2_3,4299.857142857143,342.14285714285717
53,393.6666666666667,4474.0,http2,h1_7_h2_3,4086.3333333333335,376.6666666666667
54,389.85714285714283,4120.857142857143,http1,h1_7_h2_3,3767.5714285714284,341.57142857142856
55,380.0,4889.333333333333,http2,h1_7_h2_3,4533.666666666667,344.3333333333333
