,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,3998.0,1536080524095.0,1536080523813.0,1536080528093.0,1536080523811.0,290.0,4282.0,http2,1536080524078.0,1536080524103.0,1536080524084.0,1536080524.0,273.0
0,3366.0,1536080584487.0,1536080584167.0,1536080587853.0,1536080584166.0,328.0,3687.0,http2,1536080584467.0,1536080584495.0,1536080584476.0,1536080584.0,310.0
0,3816.0,1536080644214.0,1536080643929.0,1536080648030.0,1536080643925.0,292.0,4105.0,http2,1536080644195.0,1536080644221.0,1536080644203.0,1536080644.0,278.0
0,3620.0,1536080704365.0,1536080704086.0,1536080707985.0,1536080704085.0,286.0,3900.0,http2,1536080704347.0,1536080704372.0,1536080704354.0,1536080704.0,269.0
0,3670.0,1536080764367.0,1536080764049.0,1536080768037.0,1536080764048.0,326.0,3989.0,http2,1536080764346.0,1536080764375.0,1536080764355.0,1536080764.0,307.0
0,3740.0,1536080824458.0,1536080824132.0,1536080828198.0,1536080824131.0,333.0,4067.0,http2,1536080824434.0,1536080824465.0,1536080824447.0,1536080824.0,316.0
0,6316.0,1536080884555.0,1536080884266.0,1536080890871.0,1536080884265.0,296.0,6606.0,http2,1536080884532.0,1536080884562.0,1536080884544.0,1536080884.0,279.0
0,6335.0,1536080944263.0,1536080943949.0,1536080950598.0,1536080943945.0,322.0,6653.0,http2,1536080944246.0,1536080944271.0,1536080944252.0,1536080944.0,307.0
0,3386.0,1536081003996.0,1536081003675.0,1536081007382.0,1536081003674.0,329.0,3708.0,http2,1536081003979.0,1536081004004.0,1536081003985.0,1536081004.0,311.0
0,3605.0,1536081064727.0,1536081064444.0,1536081068332.0,1536081064444.0,291.0,3888.0,http2,1536081064703.0,1536081064735.0,1536081064716.0,1536081064.0,272.0
0,4374.0,1536081124783.0,1536081124401.0,1536081129157.0,1536081124399.0,405.0,4758.0,http2,1536081124716.0,1536081124806.0,1536081124772.0,1536081124.0,373.0
0,6343.0,1536081184553.0,1536081184222.0,1536081190896.0,1536081184221.0,395.0,6675.0,http2,1536081184529.0,1536081184617.0,1536081184542.0,1536081184.0,321.0
0,3709.0,1536081244099.0,1536081243818.0,1536081247808.0,1536081243818.0,288.0,3990.0,http2,1536081244078.0,1536081244106.0,1536081244088.0,1536081244.0,270.0
0,3644.0,1536081304214.0,1536081303898.0,1536081307858.0,1536081303897.0,324.0,3961.0,http2,1536081304197.0,1536081304222.0,1536081304203.0,1536081304.0,306.0
0,3779.0,1536081364221.0,1536081363908.0,1536081368000.0,1536081363905.0,320.0,4095.0,http2,1536081364204.0,1536081364228.0,1536081364210.0,1536081364.0,305.0
