,networkTime,plt,protocol,protocol_ratio,renderingTime,ttfb
0,,,http1,h1_0_h2_10,,
1,414.2,3950.9,http2,h1_0_h2_10,3543.1,396.0
2,,,http1,h1_0_h2_10,,
3,360.7,4122.3,http2,h1_0_h2_10,3767.8,342.4
4,,,http1,h1_0_h2_10,,
5,362.3,4139.9,http2,h1_0_h2_10,3789.1,339.1
6,,,http1,h1_0_h2_10,,
7,407.8,4175.3,http2,h1_0_h2_10,3773.3,390.0
8,,,http1,h1_0_h2_10,,
9,370.4,4157.8,http2,h1_0_h2_10,3793.1,353.0
10,,,http1,h1_0_h2_10,,
11,383.4,4062.1,http2,h1_0_h2_10,3684.5,365.5
12,,,http1,h1_0_h2_10,,
13,430.8,4153.7,http2,h1_0_h2_10,3736.2,405.6
14,,,http1,h1_0_h2_10,,
15,356.4,4268.2,http2,h1_0_h2_10,3917.9,338.7
16,,,http1,h1_0_h2_10,,
17,442.2,3993.8,http2,h1_0_h2_10,3558.4,423.6
18,,,http1,h1_0_h2_10,,
19,402.2,4159.3,http2,h1_0_h2_10,3763.2,384.1
20,364.6666666666667,5054.0,http1,h1_3_h2_7,4694.666666666667,346.3333333333333
21,345.0,4048.1428571428573,http2,h1_3_h2_7,3710.285714285714,326.42857142857144
22,429.6666666666667,4252.333333333333,http1,h1_3_h2_7,3893.3333333333335,347.0
23,396.0,4031.1428571428573,http2,h1_3_h2_7,3640.714285714286,379.0
24,464.0,6017.0,http1,h1_3_h2_7,5559.333333333333,445.3333333333333
25,379.2857142857143,4120.285714285715,http2,h1_3_h2_7,3747.4285714285716,361.2857142857143
26,336.0,4330.0,http1,h1_3_h2_7,4000.6666666666665,317.3333333333333
27,361.85714285714283,4854.0,http2,h1_3_h2_7,4498.428571428572,344.14285714285717
28,420.3333333333333,4388.666666666667,http1,h1_3_h2_7,4040.6666666666665,335.6666666666667
29,392.57142857142856,4432.142857142857,http2,h1_3_h2_7,4045.8571428571427,375.0
30,355.0,4191.666666666667,http1,h1_3_h2_7,3843.6666666666665,336.0
31,374.2857142857143,4813.857142857143,http2,h1_3_h2_7,4454.571428571428,348.14285714285717
32,413.6666666666667,4243.666666666667,http1,h1_3_h2_7,3900.0,331.6666666666667
33,443.7142857142857,4189.714285714285,http2,h1_3_h2_7,3752.0,426.2857142857143
34,360.6666666666667,4129.0,http1,h1_3_h2_7,3775.6666666666665,341.3333333333333
35,371.57142857142856,4217.714285714285,http2,h1_3_h2_7,3860.0,346.42857142857144
36,360.6666666666667,4255.333333333333,http1,h1_3_h2_7,3901.0,342.0
37,470.2857142857143,4598.714285714285,http2,h1_3_h2_7,4143.428571428572,443.85714285714283
38,356.6666666666667,4296.0,http1,h1_3_h2_7,3947.0,336.6666666666667
39,374.2857142857143,4047.4285714285716,http2,h1_3_h2_7,3679.5714285714284,356.2857142857143
40,361.4,4084.2,http1,h1_5_h2_5,3729.4,342.6
41,367.2,4139.0,http2,h1_5_h2_5,3782.0,346.0
