,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,3890.0,1535827744628.0,1535827744258.0,1535827748518.0,1535827744258.0,377.0,4260.0,http1,1535827744607.0,1535827744635.0,1535827744617.0,1535827744.0,359.0
0,3612.0,1535827804897.0,1535827804531.0,1535827808509.0,1535827804529.0,373.0,3980.0,http1,1535827804877.0,1535827804904.0,1535827804886.0,1535827805.0,357.0
0,3741.0,1535827865155.0,1535827864547.0,1535827868896.0,1535827864547.0,616.0,4349.0,http1,1535827865126.0,1535827865163.0,1535827865145.0,1535827865.0,598.0
0,3955.0,1535827924299.0,1535827923907.0,1535827928254.0,1535827923907.0,399.0,4347.0,http1,1535827924282.0,1535827924306.0,1535827924288.0,1535827924.0,381.0
0,3789.0,1535827984656.0,1535827984278.0,1535827988445.0,1535827984277.0,386.0,4168.0,http1,1535827984637.0,1535827984664.0,1535827984645.0,1535827984.0,368.0
0,3714.0,1535828044857.0,1535828044438.0,1535828048571.0,1535828044437.0,448.0,4134.0,http1,1535828044828.0,1535828044886.0,1535828044847.0,1535828044.0,410.0
0,3735.0,1535828104200.0,1535828103590.0,1535828107935.0,1535828103590.0,617.0,4345.0,http1,1535828104181.0,1535828104207.0,1535828104189.0,1535828104.0,599.0
0,20527.0,1535828164303.0,1535828163953.0,1535828184830.0,1535828163953.0,358.0,20877.0,http1,1535828164287.0,1535828164311.0,1535828164293.0,1535828164.0,340.0
0,3987.0,1535828224371.0,1535828223995.0,1535828228358.0,1535828223994.0,383.0,4364.0,http1,1535828224350.0,1535828224378.0,1535828224359.0,1535828224.0,365.0
0,3999.0,1535828284754.0,1535828284361.0,1535828288753.0,1535828284361.0,417.0,4392.0,http1,1535828284718.0,1535828284778.0,1535828284743.0,1535828284.0,382.0
0,6539.0,1535828344171.0,1535828343773.0,1535828350710.0,1535828343773.0,406.0,6937.0,http1,1535828344155.0,1535828344179.0,1535828344161.0,1535828344.0,388.0
0,3911.0,1535828404124.0,1535828403730.0,1535828408035.0,1535828403729.0,401.0,4306.0,http1,1535828404107.0,1535828404131.0,1535828404113.0,1535828404.0,384.0
0,3843.0,1535828464410.0,1535828464042.0,1535828468253.0,1535828464041.0,376.0,4212.0,http1,1535828464391.0,1535828464418.0,1535828464400.0,1535828464.0,359.0
0,6523.0,1535828524661.0,1535828524254.0,1535828531184.0,1535828524253.0,424.0,6931.0,http1,1535828524622.0,1535828524678.0,1535828524651.0,1535828524.0,398.0
0,3754.0,1535828584583.0,1535828584229.0,1535828588337.0,1535828584227.0,362.0,4110.0,http1,1535828584564.0,1535828584591.0,1535828584572.0,1535828584.0,345.0
0,6494.0,1535828644764.0,1535828644350.0,1535828651258.0,1535828644347.0,445.0,6911.0,http1,1535828644718.0,1535828644795.0,1535828644753.0,1535828644.0,406.0
0,4244.0,1535828704761.0,1535828704280.0,1535828709005.0,1535828704280.0,504.0,4725.0,http1,1535828704720.0,1535828704784.0,1535828704751.0,1535828704.0,471.0
0,6422.0,1535828764385.0,1535828764013.0,1535828770807.0,1535828764012.0,379.0,6795.0,http1,1535828764367.0,1535828764392.0,1535828764374.0,1535828764.0,362.0
0,3587.0,1535828824210.0,1535828823830.0,1535828827797.0,1535828823829.0,388.0,3968.0,http1,1535828824193.0,1535828824218.0,1535828824200.0,1535828824.0,371.0
0,3906.0,1535828884219.0,1535828883829.0,1535828888125.0,1535828883825.0,398.0,4300.0,http1,1535828884202.0,1535828884227.0,1535828884209.0,1535828884.0,384.0
0,6450.0,1535828944602.0,1535828944206.0,1535828951052.0,1535828944205.0,408.0,6847.0,http1,1535828944584.0,1535828944614.0,1535828944591.0,1535828944.0,386.0
0,3852.0,1535829004399.0,1535829004026.0,1535829008251.0,1535829004025.0,381.0,4226.0,http1,1535829004379.0,1535829004407.0,1535829004389.0,1535829004.0,364.0
