,computationTime,networkTime,plt,timestamp
0,286.0,477.0,769.0,1526921885.0
0,284.0,355.0,644.0,1526921945.0
0,286.0,332.0,622.0,1526922004.0
0,345.0,312.0,664.0,1526922065.0
0,320.0,363.0,687.0,1526922125.0
0,332.0,336.0,671.0,1526922185.0
0,445.0,326.0,775.0,1526922245.0
0,432.0,355.0,794.0,1526922304.0
0,554.0,380.0,940.0,1526922365.0
0,282.0,360.0,646.0,1526922425.0
0,319.0,358.0,680.0,1526922484.0
0,309.0,369.0,681.0,1526922545.0
0,476.0,339.0,818.0,1526922605.0
0,279.0,334.0,616.0,1526922665.0
0,447.0,380.0,831.0,1526922725.0
0,444.0,441.0,889.0,1526922785.0
0,310.0,347.0,661.0,1526922845.0
0,481.0,368.0,855.0,1526922905.0
