,computationTime,networkTime,plt,timestamp
0,331.0,286.0,624.0,1526920324.0
0,330.0,284.0,617.0,1526920385.0
0,362.0,267.0,634.0,1526920445.0
0,320.0,283.0,607.0,1526920504.0
0,354.0,302.0,661.0,1526920565.0
0,301.0,265.0,570.0,1526920624.0
0,387.0,267.0,661.0,1526920685.0
0,445.0,328.0,777.0,1526920745.0
0,358.0,258.0,623.0,1526920804.0
0,549.0,282.0,835.0,1526920865.0
0,358.0,266.0,628.0,1526920924.0
0,438.0,318.0,759.0,1526920985.0
0,320.0,256.0,580.0,1526921044.0
0,424.0,265.0,697.0,1526921105.0
0,385.0,315.0,706.0,1526921165.0
0,360.0,283.0,647.0,1526921224.0
0,514.0,271.0,789.0,1526921285.0
0,339.0,263.0,606.0,1526921344.0
