,computationTime,networkTime,plt,protocol,timestamp
0,466.0,271.0,741.0,http1,1526924105.0
0,427.0,307.0,738.0,http1,1526924165.0
0,460.0,271.0,736.0,http1,1526924225.0
0,345.0,263.0,617.0,http1,1526924285.0
0,385.0,306.0,696.0,http1,1526924345.0
0,381.0,271.0,656.0,http1,1526924405.0
0,309.0,269.0,581.0,http1,1526924464.0
0,469.0,310.0,786.0,http1,1526924525.0
0,306.0,266.0,576.0,http1,1526924584.0
0,424.0,268.0,697.0,http1,1526924645.0
0,358.0,273.0,634.0,http1,1526924705.0
0,351.0,264.0,620.0,http1,1526924764.0
0,377.0,280.0,660.0,http1,1526924825.0
0,349.0,291.0,644.0,http1,1526924885.0
0,294.0,263.0,560.0,http1,1526924944.0
0,438.0,272.0,718.0,http1,1526925005.0
0,328.0,268.0,603.0,http1,1526925064.0
0,404.0,300.0,708.0,http1,1526925125.0
0,471.0,276.0,751.0,http1,1526925185.0
0,357.0,266.0,627.0,http1,1526925245.0
0,357.0,297.0,665.0,http1,1526925305.0
0,345.0,257.0,607.0,http1,1526925364.0
0,393.0,270.0,666.0,http1,1526925425.0
0,322.0,298.0,625.0,http1,1526925484.0
0,456.0,286.0,746.0,http1,1526925545.0
0,364.0,282.0,655.0,http1,1526925605.0
0,399.0,288.0,692.0,http1,1526925664.0
0,540.0,310.0,854.0,http1,1526925725.0
0,372.0,260.0,637.0,http1,1526925784.0
0,394.0,268.0,665.0,http1,1526925845.0
0,354.0,296.0,654.0,http1,1526925904.0
0,363.0,277.0,644.0,http1,1526925965.0
0,386.0,265.0,656.0,http1,1526926025.0
0,372.0,261.0,641.0,http1,1526926084.0
0,454.0,315.0,773.0,http1,1526926145.0
0,342.0,257.0,606.0,http1,1526926204.0
0,358.0,261.0,622.0,http1,1526926265.0
0,353.0,307.0,664.0,http1,1526926325.0
0,342.0,293.0,639.0,http1,1526926384.0
0,396.0,262.0,662.0,http1,1526926445.0
0,330.0,270.0,605.0,http1,1526926504.0
0,381.0,317.0,705.0,http1,1526926565.0
0,396.0,270.0,669.0,http1,1526926625.0
0,368.0,268.0,639.0,http1,1526926685.0
0,352.0,269.0,626.0,http1,1526926745.0
0,301.0,292.0,597.0,http1,1526926804.0
0,374.0,260.0,643.0,http1,1526926865.0
0,366.0,271.0,641.0,http1,1526926925.0
0,345.0,271.0,620.0,http1,1526926984.0
