,computationTime,networkTime,plt,protocol,timestamp
0,1265.0,502.0,1771.0,http2,1527405666.0
0,943.0,492.0,1439.0,http2,1527405726.0
0,651.0,524.0,1180.0,http2,1527405785.0
0,1336.0,524.0,1864.0,http2,1527405846.0
0,913.0,507.0,1423.0,http2,1527405905.0
0,799.0,479.0,1281.0,http2,1527405965.0
0,734.0,507.0,1244.0,http2,1527406026.0
0,686.0,623.0,1312.0,http2,1527406086.0
0,684.0,563.0,1254.0,http2,1527406145.0
0,668.0,501.0,1173.0,http2,1527406205.0
0,695.0,523.0,1223.0,http2,1527406265.0
0,709.0,524.0,1237.0,http2,1527406325.0
0,651.0,561.0,1217.0,http2,1527406385.0
0,975.0,534.0,1512.0,http2,1527406446.0
0,639.0,509.0,1152.0,http2,1527406505.0
0,657.0,518.0,1178.0,http2,1527406565.0
0,673.0,499.0,1177.0,http2,1527406625.0
0,1038.0,530.0,1575.0,http2,1527406685.0
0,645.0,496.0,1147.0,http2,1527406746.0
0,947.0,533.0,1483.0,http2,1527406806.0
0,649.0,529.0,1181.0,http2,1527406865.0
0,641.0,520.0,1165.0,http2,1527406925.0
0,644.0,618.0,1266.0,http2,1527406985.0
0,654.0,552.0,1209.0,http2,1527407045.0
0,648.0,534.0,1187.0,http2,1527407105.0
0,692.0,524.0,1219.0,http2,1527407166.0
0,676.0,526.0,1207.0,http2,1527407226.0
0,698.0,524.0,1224.0,http2,1527407286.0
0,639.0,523.0,1165.0,http2,1527407345.0
0,650.0,483.0,1137.0,http2,1527407405.0
0,699.0,590.0,1295.0,http2,1527407465.0
0,651.0,516.0,1173.0,http2,1527407525.0
0,652.0,524.0,1181.0,http2,1527407585.0
