,computationTime,networkTime,plt,protocol,timestamp
0,440.0,365.0,809.0,http2,1527560825.0
0,419.0,484.0,907.0,http2,1527560885.0
0,403.0,345.0,752.0,http2,1527560945.0
0,419.0,374.0,798.0,http2,1527561005.0
0,435.0,378.0,815.0,http2,1527561065.0
0,389.0,370.0,765.0,http2,1527561125.0
0,444.0,371.0,819.0,http2,1527561185.0
0,496.0,359.0,858.0,http2,1527561245.0
0,433.0,362.0,800.0,http2,1527561304.0
0,446.0,348.0,798.0,http2,1527561365.0
0,757.0,374.0,1134.0,http2,1527561425.0
0,682.0,399.0,1085.0,http2,1527561485.0
0,578.0,376.0,958.0,http2,1527561545.0
0,630.0,347.0,979.0,http2,1527561605.0
0,631.0,367.0,1001.0,http2,1527561665.0
0,463.0,368.0,836.0,http2,1527561725.0
0,438.0,518.0,959.0,http2,1527561785.0
0,520.0,383.0,906.0,http2,1527561845.0
0,663.0,397.0,1064.0,http2,1527561905.0
0,662.0,396.0,1064.0,http2,1527561965.0
0,647.0,394.0,1047.0,http2,1527562025.0
