,computationTime,networkTime,plt,protocol,timestamp
0,532.0,362.0,896.0,http2,1527502445.0
0,315.0,325.0,643.0,http2,1527502505.0
0,393.0,350.0,745.0,http2,1527502564.0
0,753.0,346.0,1101.0,http2,1527502625.0
0,939.0,391.0,1333.0,http2,1527502685.0
0,451.0,574.0,1030.0,http2,1527502746.0
0,634.0,349.0,986.0,http2,1527502805.0
0,358.0,325.0,686.0,http2,1527502864.0
0,399.0,328.0,730.0,http2,1527502925.0
0,448.0,543.0,993.0,http2,1527502985.0
0,337.0,347.0,686.0,http2,1527503044.0
0,753.0,315.0,1071.0,http2,1527503105.0
0,488.0,546.0,1038.0,http2,1527503165.0
0,324.0,355.0,683.0,http2,1527503225.0
0,440.0,374.0,816.0,http2,1527503285.0
0,476.0,314.0,794.0,http2,1527503345.0
0,267.0,563.0,833.0,http2,1527503404.0
