,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,341.0,1532675294406.0,1532675293852.0,1532675294747.0,1532675293851.0,552.0,896.0,http2,1532675294386.0,1532675294404.0,1532675294388.0,1532675295.0,537.0
0,294.0,1532675343872.0,1532675343534.0,1532675344166.0,1532675343533.0,337.0,633.0,http2,1532675343860.0,1532675343871.0,1532675343862.0,1532675344.0,329.0
0,357.0,1532675404300.0,1532675403929.0,1532675404657.0,1532675403926.0,369.0,731.0,http2,1532675404287.0,1532675404298.0,1532675404289.0,1532675405.0,363.0
0,303.0,1532675464807.0,1532675464425.0,1532675465110.0,1532675464421.0,380.0,689.0,http2,1532675464791.0,1532675464805.0,1532675464796.0,1532675465.0,375.0
0,486.0,1532675524239.0,1532675523873.0,1532675524725.0,1532675523872.0,364.0,853.0,http2,1532675524223.0,1532675524237.0,1532675524228.0,1532675525.0,356.0
0,293.0,1532675583854.0,1532675583501.0,1532675584147.0,1532675583500.0,351.0,647.0,http2,1532675583842.0,1532675583852.0,1532675583843.0,1532675584.0,343.0
0,438.0,1532675644282.0,1532675643909.0,1532675644720.0,1532675643909.0,372.0,811.0,http2,1532675644269.0,1532675644281.0,1532675644272.0,1532675645.0,363.0
0,297.0,1532675703876.0,1532675703492.0,1532675704173.0,1532675703490.0,383.0,683.0,http2,1532675703864.0,1532675703875.0,1532675703866.0,1532675704.0,376.0
0,313.0,1532675764330.0,1532675763943.0,1532675764643.0,1532675763942.0,385.0,701.0,http2,1532675764315.0,1532675764328.0,1532675764319.0,1532675765.0,377.0
0,386.0,1532675824800.0,1532675824419.0,1532675825186.0,1532675824419.0,379.0,767.0,http2,1532675824785.0,1532675824798.0,1532675824789.0,1532675825.0,370.0
0,365.0,1532675884349.0,1532675883957.0,1532675884714.0,1532675883957.0,390.0,757.0,http2,1532675884329.0,1532675884347.0,1532675884338.0,1532675885.0,381.0
0,320.0,1532675943859.0,1532675943496.0,1532675944179.0,1532675943496.0,361.0,683.0,http2,1532675943846.0,1532675943857.0,1532675943848.0,1532675944.0,352.0
0,350.0,1532676004276.0,1532676003941.0,1532676004626.0,1532676003941.0,333.0,685.0,http2,1532676004264.0,1532676004274.0,1532676004265.0,1532676005.0,324.0
0,295.0,1532676064756.0,1532676064394.0,1532676065051.0,1532676064393.0,361.0,658.0,http2,1532676064744.0,1532676064755.0,1532676064746.0,1532676065.0,353.0
0,288.0,1532676124199.0,1532676123825.0,1532676124487.0,1532676123825.0,372.0,662.0,http2,1532676124181.0,1532676124197.0,1532676124188.0,1532676124.0,363.0
0,433.0,1532676184618.0,1532676184253.0,1532676185051.0,1532676184253.0,364.0,798.0,http2,1532676184598.0,1532676184617.0,1532676184608.0,1532676185.0,355.0
0,432.0,1532676244205.0,1532676243819.0,1532676244637.0,1532676243817.0,385.0,820.0,http2,1532676244192.0,1532676244204.0,1532676244195.0,1532676245.0,378.0
0,359.0,1532676304747.0,1532676304401.0,1532676305106.0,1532676304401.0,345.0,705.0,http2,1532676304735.0,1532676304746.0,1532676304737.0,1532676305.0,336.0
0,310.0,1532676364264.0,1532676363897.0,1532676364574.0,1532676363896.0,365.0,678.0,http2,1532676364247.0,1532676364262.0,1532676364253.0,1532676365.0,357.0
0,409.0,1532676424671.0,1532676424344.0,1532676425080.0,1532676424344.0,325.0,736.0,http2,1532676424658.0,1532676424669.0,1532676424660.0,1532676425.0,316.0
0,587.0,1532676484167.0,1532676483850.0,1532676484754.0,1532676483849.0,315.0,905.0,http2,1532676484151.0,1532676484165.0,1532676484156.0,1532676485.0,307.0
0,361.0,1532676543881.0,1532676543536.0,1532676544242.0,1532676543536.0,343.0,706.0,http2,1532676543869.0,1532676543879.0,1532676543871.0,1532676544.0,335.0
0,529.0,1532676604321.0,1532676604009.0,1532676604850.0,1532676604006.0,310.0,844.0,http2,1532676604309.0,1532676604319.0,1532676604311.0,1532676605.0,305.0
0,643.0,1532676663976.0,1532676663637.0,1532676664619.0,1532676663631.0,337.0,988.0,http2,1532676663960.0,1532676663974.0,1532676663966.0,1532676665.0,335.0
0,477.0,1532676724734.0,1532676724383.0,1532676725211.0,1532676724380.0,349.0,831.0,http2,1532676724722.0,1532676724732.0,1532676724723.0,1532676725.0,343.0
0,492.0,1532676784335.0,1532676784011.0,1532676784827.0,1532676784010.0,322.0,817.0,http2,1532676784319.0,1532676784333.0,1532676784324.0,1532676785.0,314.0
0,347.0,1532676843928.0,1532676843589.0,1532676844275.0,1532676843589.0,337.0,686.0,http2,1532676843914.0,1532676843926.0,1532676843917.0,1532676844.0,328.0
0,421.0,1532676904398.0,1532676904045.0,1532676904819.0,1532676904045.0,352.0,774.0,http2,1532676904386.0,1532676904397.0,1532676904388.0,1532676905.0,343.0
0,303.0,1532676963906.0,1532676963590.0,1532676964209.0,1532676963589.0,314.0,620.0,http2,1532676963894.0,1532676963904.0,1532676963896.0,1532676964.0,307.0
0,383.0,1532677024512.0,1532677023983.0,1532677024895.0,1532677023982.0,527.0,913.0,http2,1532677024491.0,1532677024510.0,1532677024501.0,1532677025.0,519.0
0,299.0,1532677084019.0,1532677083663.0,1532677084318.0,1532677083661.0,354.0,657.0,http2,1532677084007.0,1532677084017.0,1532677084008.0,1532677084.0,347.0
