,domloading_ts,responsestart_ts
0,1532878084634.0,1532878084622.0
1,1532878144296.0,1532878144284.0
2,1532878204007.0,1532878203995.0
3,1532878264721.0,1532878264709.0
4,1532878324391.0,1532878324379.0
5,1532878384043.0,1532878384031.0
6,1532878444689.0,1532878444677.0
7,1532878504396.0,1532878504384.0
8,1532878564031.0,1532878564019.0
9,1532878624634.0,1532878624622.0
10,1532878684262.0,1532878684251.0
11,1532878744909.0,1532878744897.0
12,1532878804538.0,1532878804526.0
13,1532878864197.0,1532878864185.0
14,1532878924869.0,1532878924857.0
15,1532878984504.0,1532878984492.0
16,1532879044141.0,1532879044130.0
17,1532879104846.0,1532879104834.0
18,1532879164478.0,1532879164466.0
19,1532879224179.0,1532879224168.0
20,1532879283972.0,1532879283960.0
