,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,268.0,1532878083842.0,1532878083531.0,1532878084110.0,1532878083528.0,309.0,582.0,http2,1532878083830.0,1532878083840.0,1532878083831.0,1532878084.0,303.0
0,806.0,1532878144184.0,1532878143891.0,1532878144990.0,1532878143887.0,291.0,1103.0,http2,1532878144171.0,1532878144182.0,1532878144173.0,1532878145.0,286.0
0,551.0,1532878204068.0,1532878203769.0,1532878204619.0,1532878203764.0,297.0,855.0,http2,1532878204054.0,1532878204066.0,1532878204057.0,1532878205.0,293.0
0,474.0,1532878264715.0,1532878264395.0,1532878265189.0,1532878264392.0,318.0,797.0,http2,1532878264697.0,1532878264713.0,1532878264704.0,1532878265.0,312.0
0,574.0,1532878324280.0,1532878323964.0,1532878324854.0,1532878323963.0,314.0,891.0,http2,1532878324267.0,1532878324278.0,1532878324270.0,1532878325.0,307.0
0,475.0,1532878383950.0,1532878383635.0,1532878384425.0,1532878383632.0,313.0,793.0,http2,1532878383937.0,1532878383948.0,1532878383940.0,1532878384.0,308.0
0,502.0,1532878444514.0,1532878444200.0,1532878445016.0,1532878444199.0,312.0,817.0,http2,1532878444498.0,1532878444512.0,1532878444503.0,1532878445.0,304.0
0,306.0,1532878504107.0,1532878503801.0,1532878504413.0,1532878503800.0,304.0,613.0,http2,1532878504093.0,1532878504105.0,1532878504096.0,1532878504.0,296.0
0,599.0,1532878564483.0,1532878564184.0,1532878565082.0,1532878564184.0,297.0,898.0,http2,1532878564468.0,1532878564481.0,1532878564472.0,1532878565.0,288.0
0,606.0,1532878624264.0,1532878623863.0,1532878624870.0,1532878623863.0,399.0,1007.0,http2,1532878624250.0,1532878624262.0,1532878624253.0,1532878625.0,390.0
0,300.0,1532878683969.0,1532878683651.0,1532878684269.0,1532878683651.0,316.0,618.0,http2,1532878683955.0,1532878683967.0,1532878683958.0,1532878684.0,307.0
0,788.0,1532878744385.0,1532878744058.0,1532878745173.0,1532878744056.0,326.0,1117.0,http2,1532878744370.0,1532878744384.0,1532878744375.0,1532878745.0,319.0
0,565.0,1532878804262.0,1532878803930.0,1532878804827.0,1532878803930.0,331.0,897.0,http2,1532878804238.0,1532878804261.0,1532878804252.0,1532878805.0,322.0
0,306.0,1532878863906.0,1532878863604.0,1532878864212.0,1532878863603.0,300.0,609.0,http2,1532878863894.0,1532878863904.0,1532878863896.0,1532878864.0,293.0
0,395.0,1532878924301.0,1532878923987.0,1532878924696.0,1532878923986.0,312.0,710.0,http2,1532878924288.0,1532878924299.0,1532878924290.0,1532878925.0,304.0
0,302.0,1532878983787.0,1532878983487.0,1532878984089.0,1532878983487.0,298.0,602.0,http2,1532878983774.0,1532878983785.0,1532878983776.0,1532878984.0,289.0
0,498.0,1532879044163.0,1532879043859.0,1532879044661.0,1532879043859.0,302.0,802.0,http2,1532879044151.0,1532879044161.0,1532879044153.0,1532879045.0,294.0
0,326.0,1532879104740.0,1532879104422.0,1532879105066.0,1532879104422.0,316.0,644.0,http2,1532879104728.0,1532879104738.0,1532879104729.0,1532879105.0,307.0
0,303.0,1532879164117.0,1532879163843.0,1532879164420.0,1532879163840.0,272.0,580.0,http2,1532879164103.0,1532879164115.0,1532879164107.0,1532879164.0,267.0
0,465.0,1532879224533.0,1532879224196.0,1532879224998.0,1532879224196.0,336.0,802.0,http2,1532879224509.0,1532879224532.0,1532879224523.0,1532879225.0,327.0
0,437.0,1532879284074.0,1532879283762.0,1532879284511.0,1532879283761.0,310.0,750.0,http2,1532879284060.0,1532879284072.0,1532879284063.0,1532879285.0,302.0
