,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,365.0,1532934004310.0,1532934003926.0,1532934004675.0,1532934003925.0,382.0,750.0,http2,1532934004297.0,1532934004308.0,1532934004299.0,1532934005.0,374.0
0,299.0,1532934064853.0,1532934064455.0,1532934065152.0,1532934064454.0,397.0,698.0,http2,1532934064839.0,1532934064852.0,1532934064843.0,1532934065.0,389.0
0,339.0,1532934124328.0,1532934123936.0,1532934124667.0,1532934123931.0,390.0,736.0,http2,1532934124314.0,1532934124326.0,1532934124318.0,1532934125.0,387.0
0,415.0,1532934184836.0,1532934184442.0,1532934185251.0,1532934184441.0,392.0,810.0,http2,1532934184823.0,1532934184834.0,1532934184826.0,1532934185.0,385.0
0,494.0,1532934244397.0,1532934244032.0,1532934244891.0,1532934244032.0,363.0,859.0,http2,1532934244384.0,1532934244395.0,1532934244387.0,1532934245.0,355.0
0,440.0,1532934304037.0,1532934303663.0,1532934304477.0,1532934303661.0,373.0,816.0,http2,1532934304025.0,1532934304036.0,1532934304027.0,1532934304.0,366.0
0,297.0,1532934364615.0,1532934364256.0,1532934364912.0,1532934364256.0,358.0,656.0,http2,1532934364601.0,1532934364614.0,1532934364605.0,1532934365.0,349.0
0,289.0,1532934424046.0,1532934423694.0,1532934424335.0,1532934423693.0,350.0,642.0,http2,1532934424034.0,1532934424044.0,1532934424035.0,1532934424.0,342.0
0,512.0,1532934484462.0,1532934484110.0,1532934484974.0,1532934484109.0,351.0,865.0,http2,1532934484447.0,1532934484461.0,1532934484452.0,1532934485.0,343.0
0,430.0,1532934544124.0,1532934543743.0,1532934544554.0,1532934543742.0,379.0,812.0,http2,1532934544111.0,1532934544122.0,1532934544114.0,1532934545.0,372.0
0,391.0,1532934604708.0,1532934604313.0,1532934605099.0,1532934604313.0,393.0,786.0,http2,1532934604691.0,1532934604706.0,1532934604698.0,1532934605.0,385.0
0,660.0,1532934664238.0,1532934663872.0,1532934664898.0,1532934663872.0,365.0,1026.0,http2,1532934664226.0,1532934664237.0,1532934664228.0,1532934665.0,356.0
0,481.0,1532934724041.0,1532934723680.0,1532934724522.0,1532934723674.0,359.0,848.0,http2,1532934724027.0,1532934724039.0,1532934724030.0,1532934725.0,356.0
0,458.0,1532934784660.0,1532934784306.0,1532934785118.0,1532934784305.0,353.0,813.0,http2,1532934784646.0,1532934784659.0,1532934784650.0,1532934785.0,345.0
0,772.0,1532934844252.0,1532934843905.0,1532934845024.0,1532934843905.0,345.0,1119.0,http2,1532934844237.0,1532934844250.0,1532934844241.0,1532934845.0,336.0
0,481.0,1532934904125.0,1532934903794.0,1532934904606.0,1532934903789.0,329.0,817.0,http2,1532934904112.0,1532934904123.0,1532934904115.0,1532934905.0,326.0
0,437.0,1532934964763.0,1532934964373.0,1532934965200.0,1532934964373.0,388.0,827.0,http2,1532934964748.0,1532934964761.0,1532934964753.0,1532934965.0,380.0
0,312.0,1532935024354.0,1532935023981.0,1532935024666.0,1532935023981.0,371.0,685.0,http2,1532935024342.0,1532935024352.0,1532935024344.0,1532935025.0,363.0
0,349.0,1532935084754.0,1532935084438.0,1532935085103.0,1532935084437.0,314.0,666.0,http2,1532935084739.0,1532935084752.0,1532935084743.0,1532935085.0,306.0
0,398.0,1532935144270.0,1532935143878.0,1532935144668.0,1532935143877.0,390.0,791.0,http2,1532935144256.0,1532935144268.0,1532935144259.0,1532935145.0,382.0
0,481.0,1532935204833.0,1532935204437.0,1532935205314.0,1532935204436.0,394.0,878.0,http2,1532935204819.0,1532935204831.0,1532935204823.0,1532935205.0,387.0
0,617.0,1532935264470.0,1532935264089.0,1532935265087.0,1532935264088.0,379.0,999.0,http2,1532935264457.0,1532935264468.0,1532935264459.0,1532935265.0,371.0
0,362.0,1532935324224.0,1532935323858.0,1532935324586.0,1532935323857.0,365.0,729.0,http2,1532935324212.0,1532935324223.0,1532935324214.0,1532935325.0,357.0
