,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,1226.0,1533638104464.0,1533638103849.0,1533638105690.0,1533638103848.0,613.0,1842.0,http2,1533638104349.0,1533638104462.0,1533638104453.0,1533638106.0,605.0
0,1411.0,1533638165193.0,1533638164516.0,1533638166604.0,1533638164514.0,675.0,2090.0,http2,1533638165079.0,1533638165191.0,1533638165182.0,1533638167.0,668.0
0,1288.0,1533638225217.0,1533638224435.0,1533638226505.0,1533638224434.0,780.0,2071.0,http2,1533638225105.0,1533638225215.0,1533638225206.0,1533638227.0,772.0
0,1239.0,1533638285024.0,1533638284335.0,1533638286263.0,1533638284331.0,687.0,1932.0,http2,1533638284912.0,1533638285022.0,1533638285013.0,1533638286.0,682.0
0,1224.0,1533638344850.0,1533638344184.0,1533638346074.0,1533638344183.0,664.0,1891.0,http2,1533638344738.0,1533638344848.0,1533638344839.0,1533638346.0,656.0
0,1233.0,1533638404579.0,1533638403917.0,1533638405812.0,1533638403914.0,660.0,1898.0,http2,1533638404467.0,1533638404577.0,1533638404568.0,1533638406.0,654.0
0,2212.0,1533638464305.0,1533638463651.0,1533638466517.0,1533638463650.0,652.0,2867.0,http2,1533638464193.0,1533638464303.0,1533638464294.0,1533638467.0,644.0
0,1613.0,1533638524943.0,1533638524330.0,1533638526556.0,1533638524329.0,611.0,2227.0,http2,1533638524831.0,1533638524941.0,1533638524932.0,1533638527.0,603.0
0,1409.0,1533638585027.0,1533638584370.0,1533638586436.0,1533638584369.0,656.0,2067.0,http2,1533638584915.0,1533638585026.0,1533638585017.0,1533638586.0,648.0
0,1727.0,1533638644940.0,1533638644254.0,1533638646667.0,1533638644253.0,684.0,2414.0,http2,1533638644828.0,1533638644938.0,1533638644929.0,1533638647.0,676.0
0,1222.0,1533638705189.0,1533638704489.0,1533638706411.0,1533638704486.0,698.0,1925.0,http2,1533638705066.0,1533638705187.0,1533638705178.0,1533638706.0,692.0
0,1207.0,1533638764927.0,1533638764247.0,1533638766134.0,1533638764241.0,678.0,1893.0,http2,1533638764814.0,1533638764925.0,1533638764916.0,1533638766.0,675.0
0,1399.0,1533638824611.0,1533638823949.0,1533638826010.0,1533638823948.0,660.0,2062.0,http2,1533638824499.0,1533638824609.0,1533638824600.0,1533638826.0,652.0
