,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,493.0,1533603244752.0,1533603244359.0,1533603245245.0,1533603244357.0,391.0,888.0,http2,1533603244736.0,1533603244750.0,1533603244741.0,1533603245.0,384.0
0,621.0,1533603304486.0,1533603304103.0,1533603305107.0,1533603304099.0,382.0,1008.0,http2,1533603304474.0,1533603304485.0,1533603304476.0,1533603305.0,377.0
0,349.0,1533603364300.0,1533603363935.0,1533603364649.0,1533603363935.0,364.0,714.0,http2,1533603364288.0,1533603364299.0,1533603364290.0,1533603365.0,355.0
0,432.0,1533603424866.0,1533603424487.0,1533603425298.0,1533603424485.0,377.0,813.0,http2,1533603424849.0,1533603424864.0,1533603424855.0,1533603425.0,370.0
0,613.0,1533603484500.0,1533603484131.0,1533603485113.0,1533603484131.0,367.0,982.0,http2,1533603484487.0,1533603484498.0,1533603484489.0,1533603485.0,358.0
0,870.0,1533603544282.0,1533603543951.0,1533603545152.0,1533603543951.0,330.0,1201.0,http2,1533603544270.0,1533603544281.0,1533603544272.0,1533603545.0,321.0
0,448.0,1533603604393.0,1533603604003.0,1533603604841.0,1533603604000.0,388.0,841.0,http2,1533603604377.0,1533603604391.0,1533603604382.0,1533603605.0,382.0
0,657.0,1533603664231.0,1533603663675.0,1533603664888.0,1533603663675.0,554.0,1213.0,http2,1533603664219.0,1533603664229.0,1533603664220.0,1533603665.0,545.0
0,336.0,1533603724090.0,1533603723711.0,1533603724426.0,1533603723711.0,377.0,715.0,http2,1533603724078.0,1533603724088.0,1533603724079.0,1533603724.0,368.0
0,577.0,1533603784641.0,1533603784255.0,1533603785218.0,1533603784253.0,384.0,965.0,http2,1533603784628.0,1533603784639.0,1533603784631.0,1533603785.0,378.0
0,784.0,1533603844396.0,1533603844043.0,1533603845180.0,1533603844038.0,351.0,1142.0,http2,1533603844377.0,1533603844394.0,1533603844386.0,1533603845.0,348.0
0,516.0,1533603904632.0,1533603904019.0,1533603905148.0,1533603904019.0,611.0,1129.0,http2,1533603904370.0,1533603904630.0,1533603904621.0,1533603905.0,602.0
0,631.0,1533603964588.0,1533603963984.0,1533603965219.0,1533603963979.0,602.0,1240.0,http2,1533603964570.0,1533603964586.0,1533603964577.0,1533603965.0,598.0
0,643.0,1533604024541.0,1533604024039.0,1533604025184.0,1533604024036.0,500.0,1148.0,http2,1533604024526.0,1533604024539.0,1533604024531.0,1533604025.0,495.0
0,459.0,1533604084427.0,1533604084040.0,1533604084886.0,1533604084040.0,385.0,846.0,http2,1533604084415.0,1533604084425.0,1533604084416.0,1533604085.0,376.0
0,363.0,1533604144126.0,1533604143760.0,1533604144489.0,1533604143759.0,364.0,730.0,http2,1533604144114.0,1533604144124.0,1533604144116.0,1533604145.0,357.0
0,407.0,1533604204714.0,1533604204333.0,1533604205121.0,1533604204332.0,379.0,789.0,http2,1533604204697.0,1533604204712.0,1533604204703.0,1533604205.0,371.0
0,387.0,1533604264336.0,1533604263955.0,1533604264723.0,1533604263954.0,379.0,769.0,http2,1533604264319.0,1533604264334.0,1533604264325.0,1533604265.0,371.0
0,311.0,1533604323966.0,1533604323567.0,1533604324277.0,1533604323567.0,397.0,710.0,http2,1533604323954.0,1533604323964.0,1533604323956.0,1533604324.0,389.0
0,313.0,1533604384700.0,1533604384108.0,1533604385013.0,1533604384107.0,591.0,906.0,http2,1533604384687.0,1533604384699.0,1533604384690.0,1533604385.0,583.0
0,304.0,1533604444228.0,1533604443848.0,1533604444532.0,1533604443847.0,378.0,685.0,http2,1533604444214.0,1533604444226.0,1533604444218.0,1533604445.0,371.0
0,542.0,1533604504728.0,1533604504356.0,1533604505270.0,1533604504352.0,370.0,918.0,http2,1533604504709.0,1533604504726.0,1533604504717.0,1533604505.0,365.0
0,542.0,1533604564485.0,1533604564109.0,1533604565027.0,1533604564107.0,374.0,920.0,http2,1533604564471.0,1533604564483.0,1533604564475.0,1533604565.0,368.0
0,756.0,1533604624274.0,1533604623888.0,1533604625030.0,1533604623886.0,384.0,1144.0,http2,1533604624262.0,1533604624272.0,1533604624263.0,1533604625.0,377.0
0,542.0,1533604684220.0,1533604683880.0,1533604684762.0,1533604683879.0,338.0,883.0,http2,1533604684203.0,1533604684218.0,1533604684209.0,1533604685.0,330.0
0,306.0,1533604743962.0,1533604743593.0,1533604744268.0,1533604743591.0,367.0,677.0,http2,1533604743950.0,1533604743960.0,1533604743951.0,1533604744.0,360.0
0,337.0,1533604804511.0,1533604804111.0,1533604804848.0,1533604804107.0,398.0,741.0,http2,1533604804498.0,1533604804509.0,1533604804500.0,1533604805.0,393.0
0,1702.0,1533604864020.0,1533604863682.0,1533604865722.0,1533604863681.0,336.0,2041.0,http2,1533604864007.0,1533604864018.0,1533604864009.0,1533604866.0,328.0
0,559.0,1533604924333.0,1533604923555.0,1533604924892.0,1533604923552.0,776.0,1340.0,http2,1533604924316.0,1533604924331.0,1533604924322.0,1533604925.0,770.0
0,556.0,1533604984107.0,1533604983715.0,1533604984663.0,1533604983715.0,390.0,948.0,http2,1533604984095.0,1533604984105.0,1533604984097.0,1533604985.0,382.0
0,380.0,1533605044872.0,1533605044491.0,1533605045252.0,1533605044490.0,379.0,762.0,http2,1533605044858.0,1533605044870.0,1533605044861.0,1533605045.0,371.0
0,575.0,1533605104433.0,1533605104079.0,1533605105008.0,1533605104079.0,352.0,929.0,http2,1533605104418.0,1533605104431.0,1533605104422.0,1533605105.0,343.0
0,693.0,1533605164205.0,1533605163849.0,1533605164898.0,1533605163849.0,354.0,1049.0,http2,1533605164193.0,1533605164203.0,1533605164194.0,1533605165.0,345.0
0,651.0,1533605224144.0,1533605223739.0,1533605224795.0,1533605223738.0,403.0,1057.0,http2,1533605224132.0,1533605224142.0,1533605224133.0,1533605225.0,395.0
0,352.0,1533605284236.0,1533605283631.0,1533605284588.0,1533605283627.0,603.0,961.0,http2,1533605284222.0,1533605284234.0,1533605284225.0,1533605285.0,598.0
0,515.0,1533605344784.0,1533605344439.0,1533605345299.0,1533605344439.0,343.0,860.0,http2,1533605344772.0,1533605344782.0,1533605344774.0,1533605345.0,335.0
