,networkTime,plt,protocol,renderingTime,test_case,ttfb
0,344.3333333333333,4137.0,http1,3799.0,h1_3_h2_7,325.6666666666667
1,386.85714285714283,4182.285714285715,http2,3801.714285714286,h1_3_h2_7,369.14285714285717
2,359.6666666666667,4245.666666666667,http1,3891.6666666666665,h1_3_h2_7,341.6666666666667
3,387.42857142857144,4261.142857142857,http2,3879.5714285714284,h1_3_h2_7,370.2857142857143
4,368.0,4078.3333333333335,http1,3717.0,h1_3_h2_7,348.6666666666667
5,384.42857142857144,4109.571428571428,http2,3730.8571428571427,h1_3_h2_7,367.2857142857143
6,442.3333333333333,4209.0,http1,3840.6666666666665,h1_3_h2_7,356.3333333333333
7,395.1666666666667,4284.666666666667,http2,3895.5,h1_3_h2_7,377.6666666666667
8,383.0,4176.0,http1,3799.3333333333335,h1_3_h2_7,364.6666666666667
9,391.14285714285717,4185.428571428572,http2,3800.5714285714284,h1_3_h2_7,373.0
10,423.0,4361.0,http1,3944.3333333333335,h1_3_h2_7,404.3333333333333
11,415.42857142857144,4179.0,http2,3770.0,h1_3_h2_7,397.7142857142857
12,507.3333333333333,4290.0,http1,3789.0,h1_3_h2_7,488.0
13,457.3333333333333,4264.333333333333,http2,3831.0,h1_3_h2_7,422.0
14,357.0,4016.3333333333335,http1,3666.6666666666665,h1_3_h2_7,337.3333333333333
15,372.8333333333333,3967.5,http2,3601.6666666666665,h1_3_h2_7,354.3333333333333
16,403.6666666666667,4224.333333333333,http1,3890.6666666666665,h1_3_h2_7,321.6666666666667
17,344.0,4167.333333333333,http2,3829.3333333333335,h1_3_h2_7,326.6666666666667
18,358.3333333333333,4157.0,http1,3805.6666666666665,h1_3_h2_7,339.0
19,381.5,4007.1666666666665,http2,3651.0,h1_3_h2_7,345.1666666666667
20,443.6,4183.0,http1,3746.2,h1_5_h2_5,424.6
21,375.0,4042.25,http2,3673.5,h1_5_h2_5,357.75
22,375.8,4261.8,http1,3893.4,h1_5_h2_5,356.6
23,425.6,4040.4,http2,3642.0,h1_5_h2_5,387.0
24,383.0,4297.2,http1,3921.2,h1_5_h2_5,364.0
25,422.2,4158.4,http2,3741.8,h1_5_h2_5,405.2
26,391.6,4227.8,http1,3843.4,h1_5_h2_5,372.4
27,391.6,4000.8,http2,3625.4,h1_5_h2_5,364.4
28,453.8,4320.2,http1,3872.0,h1_5_h2_5,436.0
29,359.6,4073.8,http2,3720.0,h1_5_h2_5,342.6
30,385.0,3913.2,http1,3572.2,h1_5_h2_5,329.2
31,570.0,4212.6,http2,3649.6,h1_5_h2_5,551.4
32,480.0,4268.4,http1,3794.4,h1_5_h2_5,461.8
33,420.2,4095.2,http2,3681.8,h1_5_h2_5,402.2
34,440.0,4133.0,http1,3699.0,h1_5_h2_5,422.0
35,411.4,4192.0,http2,3798.0,h1_5_h2_5,383.0
36,351.0,4142.6,http1,3798.4,h1_5_h2_5,332.6
37,424.75,4309.75,http2,3892.0,h1_5_h2_5,406.5
38,340.25,4293.5,http1,3959.0,h1_5_h2_5,322.5
39,423.4,4297.4,http2,3881.4,h1_5_h2_5,404.8
40,357.85714285714283,4288.285714285715,http1,3936.5714285714284,h1_7_h2_3,340.0
41,385.5,3981.5,http2,3613.5,h1_7_h2_3,357.0
42,356.1666666666667,4134.333333333333,http1,3784.5,h1_7_h2_3,337.6666666666667
43,464.0,4165.666666666667,http2,3725.3333333333335,h1_7_h2_3,429.0
44,391.3333333333333,4111.833333333333,http1,3726.5,h1_7_h2_3,373.5
45,436.3333333333333,4078.3333333333335,http2,3648.6666666666665,h1_7_h2_3,418.3333333333333
46,425.5,4331.0,http1,3909.8333333333335,h1_7_h2_3,409.6666666666667
47,520.6666666666666,4259.333333333333,http2,3832.0,h1_7_h2_3,416.0
48,359.8333333333333,4189.833333333333,http1,3840.0,h1_7_h2_3,338.5
49,411.0,4004.3333333333335,http2,3600.0,h1_7_h2_3,392.6666666666667
50,347.42857142857144,4292.285714285715,http1,3951.1428571428573,h1_7_h2_3,329.42857142857144
51,457.6666666666667,4041.0,http2,3590.0,h1_7_h2_3,440.0
52,413.14285714285717,4423.428571428572,http1,4045.4285714285716,h1_7_h2_3,366.2857142857143
53,518.6666666666666,4351.666666666667,http2,3883.3333333333335,h1_7_h2_3,457.3333333333333
54,398.8333333333333,4227.333333333333,http1,3834.0,h1_7_h2_3,381.3333333333333
55,566.6666666666666,4348.333333333333,http2,3794.0,h1_7_h2_3,541.3333333333334
56,385.85714285714283,4324.571428571428,http1,3945.4285714285716,h1_7_h2_3,367.42857142857144
57,443.0,4151.333333333333,http2,3749.3333333333335,h1_7_h2_3,390.6666666666667
58,378.57142857142856,4508.714285714285,http1,4163.428571428572,h1_7_h2_3,333.7142857142857
59,403.0,4377.0,http2,3979.6666666666665,h1_7_h2_3,386.6666666666667
