,networkTime,protocol,renderingTime,test_case,ttfb
0,289.3333333333333,http1,407.0,h1_3_h2_7,280.3333333333333
1,326.7142857142857,http2,485.85714285714283,h1_3_h2_7,319.57142857142856
2,295.3333333333333,http1,464.3333333333333,h1_3_h2_7,289.3333333333333
3,313.2857142857143,http2,745.4285714285714,h1_3_h2_7,306.7142857142857
4,324.3333333333333,http1,397.0,h1_3_h2_7,316.3333333333333
5,306.0,http2,407.14285714285717,h1_3_h2_7,299.14285714285717
6,307.0,http1,398.0,h1_3_h2_7,299.0
7,309.42857142857144,http2,396.57142857142856,h1_3_h2_7,301.42857142857144
8,314.6666666666667,http1,376.0,h1_3_h2_7,307.0
9,319.85714285714283,http2,524.4285714285714,h1_3_h2_7,312.42857142857144
10,319.3333333333333,http1,377.0,h1_3_h2_7,311.0
11,317.57142857142856,http2,367.7142857142857,h1_3_h2_7,309.7142857142857
12,293.3333333333333,http1,490.0,h1_3_h2_7,285.0
13,323.0,http2,544.4285714285714,h1_3_h2_7,314.7142857142857
14,331.3333333333333,http1,412.6666666666667,h1_3_h2_7,322.6666666666667
15,324.14285714285717,http2,416.42857142857144,h1_3_h2_7,316.85714285714283
16,323.6666666666667,http1,375.6666666666667,h1_3_h2_7,315.3333333333333
17,333.2857142857143,http2,327.2857142857143,h1_3_h2_7,327.42857142857144
18,297.0,http1,395.3333333333333,h1_3_h2_7,291.0
19,322.14285714285717,http2,339.7142857142857,h1_3_h2_7,314.2857142857143
20,327.2,http1,357.4,h1_5_h2_5,319.2
21,303.0,http2,424.6,h1_5_h2_5,296.2
22,324.8,http1,391.0,h1_5_h2_5,316.8
23,303.2,http2,380.6,h1_5_h2_5,297.4
24,335.4,http1,378.8,h1_5_h2_5,327.8
25,320.2,http2,334.2,h1_5_h2_5,313.2
26,328.8,http1,443.6,h1_5_h2_5,320.0
27,316.4,http2,611.6,h1_5_h2_5,308.4
28,326.8,http1,390.2,h1_5_h2_5,318.8
29,321.0,http2,383.4,h1_5_h2_5,314.2
30,330.6,http1,376.0,h1_5_h2_5,322.0
31,302.4,http2,378.8,h1_5_h2_5,295.2
32,325.0,http1,363.2,h1_5_h2_5,316.4
33,363.8,http2,457.8,h1_5_h2_5,357.2
34,335.0,http1,387.0,h1_5_h2_5,326.8
35,297.8,http2,418.4,h1_5_h2_5,290.4
36,329.2,http1,390.2,h1_5_h2_5,320.8
37,306.0,http2,443.0,h1_5_h2_5,298.4
38,333.6,http1,402.0,h1_5_h2_5,325.8
39,314.0,http2,519.0,h1_5_h2_5,308.0
40,330.42857142857144,http1,395.42857142857144,h1_7_h2_3,322.85714285714283
41,307.6666666666667,http2,410.0,h1_7_h2_3,301.0
42,323.2857142857143,http1,386.7142857142857,h1_7_h2_3,314.85714285714283
43,299.6666666666667,http2,530.0,h1_7_h2_3,293.3333333333333
44,335.85714285714283,http1,399.42857142857144,h1_7_h2_3,327.7142857142857
45,323.3333333333333,http2,485.6666666666667,h1_7_h2_3,317.0
46,319.2857142857143,http1,398.2857142857143,h1_7_h2_3,311.42857142857144
47,374.0,http2,493.6666666666667,h1_7_h2_3,366.6666666666667
48,336.14285714285717,http1,383.7142857142857,h1_7_h2_3,328.42857142857144
49,311.3333333333333,http2,571.3333333333334,h1_7_h2_3,304.3333333333333
50,333.2857142857143,http1,391.57142857142856,h1_7_h2_3,325.2857142857143
51,290.0,http2,459.6666666666667,h1_7_h2_3,285.3333333333333
52,346.14285714285717,http1,406.57142857142856,h1_7_h2_3,338.14285714285717
53,290.0,http2,536.6666666666666,h1_7_h2_3,281.6666666666667
54,329.85714285714283,http1,428.57142857142856,h1_7_h2_3,321.85714285714283
55,314.6666666666667,http2,774.0,h1_7_h2_3,307.3333333333333
56,334.57142857142856,http1,355.42857142857144,h1_7_h2_3,327.85714285714283
57,312.6666666666667,http2,312.0,h1_7_h2_3,304.3333333333333
58,315.42857142857144,http1,403.2857142857143,h1_7_h2_3,307.7142857142857
59,313.6666666666667,http2,519.0,h1_7_h2_3,306.6666666666667
