,networkTime,protocol,renderingTime,test_case,ttfb
0,331.0,http1,389.6666666666667,h1_3_h2_7,321.6666666666667
1,367.85714285714283,http2,389.2857142857143,h1_3_h2_7,360.7142857142857
2,333.3333333333333,http1,384.3333333333333,h1_3_h2_7,324.3333333333333
3,337.57142857142856,http2,401.0,h1_3_h2_7,331.14285714285717
4,328.0,http1,383.0,h1_3_h2_7,318.6666666666667
5,335.2857142857143,http2,367.57142857142856,h1_3_h2_7,327.85714285714283
6,317.0,http1,415.6666666666667,h1_3_h2_7,310.3333333333333
7,337.14285714285717,http2,557.1428571428571,h1_3_h2_7,330.57142857142856
8,339.6666666666667,http1,404.0,h1_3_h2_7,331.3333333333333
9,343.42857142857144,http2,399.85714285714283,h1_3_h2_7,335.0
10,331.0,http1,375.6666666666667,h1_3_h2_7,321.6666666666667
11,329.14285714285717,http2,403.2857142857143,h1_3_h2_7,322.57142857142856
12,320.6666666666667,http1,417.0,h1_3_h2_7,312.3333333333333
13,322.14285714285717,http2,474.57142857142856,h1_3_h2_7,314.57142857142856
14,306.6666666666667,http1,411.0,h1_3_h2_7,297.0
15,335.57142857142856,http2,410.0,h1_3_h2_7,327.57142857142856
16,320.0,http1,398.6666666666667,h1_3_h2_7,311.0
17,323.14285714285717,http2,409.42857142857144,h1_3_h2_7,316.14285714285717
18,406.0,http1,386.3333333333333,h1_3_h2_7,397.3333333333333
19,365.85714285714283,http2,380.0,h1_3_h2_7,357.57142857142856
20,354.6,http1,422.2,h1_5_h2_5,346.2
21,334.2,http2,658.8,h1_5_h2_5,326.6
22,328.0,http1,396.2,h1_5_h2_5,320.2
23,331.8,http2,463.2,h1_5_h2_5,325.0
24,331.6,http1,384.2,h1_5_h2_5,323.0
25,389.6,http2,483.4,h1_5_h2_5,381.6
26,319.6,http1,411.4,h1_5_h2_5,310.8
27,313.4,http2,453.8,h1_5_h2_5,306.4
28,322.8,http1,409.2,h1_5_h2_5,314.6
29,334.0,http2,467.2,h1_5_h2_5,326.0
30,328.6,http1,386.0,h1_5_h2_5,320.6
31,318.2,http2,332.8,h1_5_h2_5,311.6
32,311.0,http1,381.6,h1_5_h2_5,302.8
33,310.2,http2,538.2,h1_5_h2_5,304.2
34,349.6,http1,389.4,h1_5_h2_5,342.6
35,353.4,http2,567.6,h1_5_h2_5,346.0
36,334.2,http1,398.2,h1_5_h2_5,326.4
37,328.6,http2,616.2,h1_5_h2_5,321.8
38,325.4,http1,417.4,h1_5_h2_5,317.8
39,318.2,http2,435.0,h1_5_h2_5,310.8
40,325.42857142857144,http1,399.85714285714283,h1_7_h2_3,316.7142857142857
41,345.3333333333333,http2,638.3333333333334,h1_7_h2_3,337.3333333333333
42,353.57142857142856,http1,366.14285714285717,h1_7_h2_3,345.57142857142856
43,316.0,http2,314.3333333333333,h1_7_h2_3,308.3333333333333
44,330.57142857142856,http1,380.42857142857144,h1_7_h2_3,322.2857142857143
45,336.3333333333333,http2,526.6666666666666,h1_7_h2_3,329.6666666666667
46,333.14285714285717,http1,379.7142857142857,h1_7_h2_3,324.85714285714283
47,322.3333333333333,http2,444.3333333333333,h1_7_h2_3,314.0
48,329.85714285714283,http1,433.57142857142856,h1_7_h2_3,321.42857142857144
49,336.0,http2,508.6666666666667,h1_7_h2_3,330.0
50,324.85714285714283,http1,385.0,h1_7_h2_3,317.14285714285717
51,357.6666666666667,http2,333.0,h1_7_h2_3,350.0
52,315.2857142857143,http1,381.57142857142856,h1_7_h2_3,308.0
53,370.6666666666667,http2,460.6666666666667,h1_7_h2_3,362.0
54,339.57142857142856,http1,383.7142857142857,h1_7_h2_3,331.7142857142857
55,315.0,http2,326.6666666666667,h1_7_h2_3,308.0
56,328.57142857142856,http1,377.2857142857143,h1_7_h2_3,320.14285714285717
57,316.3333333333333,http2,354.0,h1_7_h2_3,310.0
58,324.14285714285717,http1,396.14285714285717,h1_7_h2_3,316.57142857142856
59,311.6666666666667,http2,414.0,h1_7_h2_3,305.6666666666667
